ticker,name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(지배주주%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
018260,삼성에스디에스,"169,644","9,377","10,012",5.53,5.90,12.67,41.29(21),317.75(21),"19,086.39(21)","12,565",9.75,"104,992",1.17,"2,729",1.53(21),30.37(21)
329180,현대중공업,"91,994","-2,849","-1,853",-3.10,-2.01,-3.38,169.55(21),58.82(21),962.02(21),"-2,109",-53.19,"61,720",1.82,-,-,-
000810,삼성화재,"244,443(21)","15,069(21)","11,930",6.16(21),4.60(21),8.88,512.78(21),(21),"64,024.08(21)","23,513",8.91,"266,011",0.79,"12,909",5.94(21),45.46(21)
316140,우리금융지주,"271,910(21)","44,240","33,262",13.46(21),10.32(21),11.67,"1,450.02(21)",(21),692.63(21),"4,341",2.88,"38,928",0.32,"1,119",7.09(21),25.29(21)
030200,KT,"256,309","17,274","12,973",6.74,5.06,7.53,124.30(21),101.16(21),941.37(21),"4,452",7.70,"62,127",0.55,"2,063",6.24(21),33.19(21)
259960,크래프톤,"18,411","7,150","7,539",38.83,40.95,14.83,22.28(21),572.52(21),"89,793.21(21)","15,366",12.15,"118,456",1.58,-,-,-
003490,대한항공,"139,811","29,218","18,731",20.90,13.40,24.59,288.48(21),65.19(21),232.63(21),"5,232",4.56,"23,213",1.03,8,-,-
009830,한화솔루션,"133,195","11,000","6,649",8.26,4.99,7.53,143.96(21),64.56(21),721.16(21),"3,356",13.86,"47,393",0.98,14,-,-
377300,카카오페이,"5,311",-475,-309,-8.94,-5.82,-0.27,91.17(21),271.42(21),"2,451.26(21)",-35,"-1,892.45","12,728",5.16,-,-,-(21)
090430,아모레퍼시픽,"41,511","2,015","1,226",4.85,2.95,2.70,28.93(21),89.02(21),"13,710.55(21)","1,876",78.59,"69,973",2.11,802,0.59(21),34.92(21)
024110,기업은행,"174,917(21)","36,769","27,276",18.47(21),13.87(21),9.74,"1,345.75(21)",(21),553.80(21),"3,408",2.97,"37,749",0.27,880,7.57(21),25.78(21)
352820,하이브,"16,952","2,389","2,612",14.09,15.40,8.55,63.82(21),216.01(21),"13,180.02(21)","6,195",31.57,"76,941",2.54,-,-,-(21)
086280,현대글로비스,"272,691","18,196","12,115",6.67,4.44,19.00,109.39(21),136.10(21),"30,792.34(21)","32,274",5.68,"185,080",0.99,"4,117",2.26(21),18.20(21)
011070,LG이노텍,"195,763","15,328","10,814",7.83,5.52,27.62,133.58(21),80.19(21),"2,688.76(21)","45,048",6.13,"186,240",1.48,"3,372",0.82(21),7.99(21)
011170,롯데케미칼,"224,089","-4,893",591,-2.18,0.26,0.57,48.01(21),119.15(21),"8,276.05(21)","2,323",75.35,"414,643",0.42,"1,729",3.82(21),21.14(21)
302440,SK바이오사이언스,"4,835","1,569","1,332",32.45,27.55,7.96,31.77(21),370.20(21),"4,084.63(21)","1,736",45.44,"22,736",3.47,-,-,-
326030,SK바이오팜,"2,552","-1,097","-1,150",-42.96,-45.04,-29.82,44.91(21),282.72(21),"1,010.57(21)","-1,485",-48.68,"4,289",16.86,-,-,-
000060,메리츠화재,"118,614(21)","9,076(21)","6,609(21)",7.65(21),5.57(21),26.12(21),"1,056.04(21)",(21),"4,389.04(21)","5,471(21)",6.13(21),"22,115(21)",1.52(21),620(21),1.85(21),10.15(21)
383220,F&F,"18,796","5,665","4,229",30.14,22.50,60.07,176.06(21),21.72(21),"11,022.55(21)","11,049",13.30,"22,592",6.51,"1,554",-,-
