ticker,name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(지배주주%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
001120,LX인터내셔널,"191,748","10,141","8,452",5.29,4.41,28.15,182.98(21),95.98(21),837.29(21),"15,038",2.30,"65,799",0.53,"2,767",8.70(21),23.63(21)
000240,한국앤컴퍼니,"9,633(21)","2,283(21)","2,000(21)",23.70(21),20.76(21),5.53(21),9.26(21),100.86(21),"7,779.51(21)","2,087(21)",7.52(21),"39,349(21)",0.40(21),600(21),3.82(21),28.89(21)
000670,영풍,"44,890","2,335","3,300",5.20,7.35,6.91,41.48(21),105.07(21),"37,677.39(21)","134,090",4.62,"2,145,182",0.29,"10,000",1.53(21),13.85(21)
003090,대웅,"16,548","2,218","1,902",13.40,11.49,11.13(21),67.13(21),116.12(21),"2,700.41(21)","1,355(21)",22.91(21),"17,576(21)",1.77(21),100,0.32(21),5.27(21)
005850,에스엘,"41,026","2,421","2,012",5.90,4.91,12.25,69.08(21),120.29(21),"6,207.21(21)","4,156",6.47,"36,650",0.73,560,1.60(21),23.88(21)
009240,한샘,"20,065",-52,69,-0.26,0.34,1.16,100.48(21),88.13(21),"3,438.25(21)",294,180.39,"36,289",1.46,"1,193",1.67(21),34.86(21)
014820,동원시스템즈,"14,778",993,709,6.72,4.80,10.29,124.24(21),81.42(21),249.01(21),"2,424",17.74,"24,631",1.75,600,1.17(21),44.06(21)
271940,일진하이솔루스,"1,062",40,66,3.82,6.22,2.13,11.85(21),898.96(21),"1,591.72(21)",182,179.64,"8,614",3.79,75,-,-
019170,신풍제약,"1,892(21)",-143(21),-115(21),-7.56(21),-6.09(21),-3.19(21),10.72(21),625.89(21),"1,278.43(21)",-210(21),-152.21(21),"6,896(21)",4.63(21),-,-,-
020560,아시아나항공,"62,660","6,220","-5,168(21)",9.93,-11.91(21),-47.21(21),"2,410.60(21)",45.27(21),48.64(21),"-5,160",-2.89,"6,774(21)",2.95(21),-,-,-(21)
093370,후성,"6,049","1,291","1,070",21.34,17.69,29.26,117.43(21),74.21(21),419.52(21),915,13.92,"3,513",3.62,20,0.06(21),6.16(21)
114090,GKL,"2,584",-133,-88,-5.14,-3.41,-2.34,38.52(21),111.00(21),"1,140.14(21)",-143,-138.16,"6,051",3.27,100,-,-
120110,코오롱인더,"53,235","2,558","2,022",4.81,3.80,7.31,119.61(21),51.56(21),"1,548.35(21)","6,096",7.53,"86,459",0.53,"1,200",1.83(21),20.89(21)
017800,현대엘리베이,"19,734(21)","1,290(21)","1,123(21)",6.54(21),5.69(21),10.62(21),162.93(21),68.63(21),424.41(21),"2,772(21)",14.87(21),"27,485(21)",1.50(21),800(21),1.94(21),28.87(21)
001740,SK네트웍스,"98,348","1,654",727,1.68,0.74,3.01,293.93(21),64.30(21),252.63(21),269,15.30,"10,255",0.40,120,2.39(21),26.59(21)
001800,오리온홀딩스,"24,151(21)","3,157(21)","2,253(21)",13.07(21),9.33(21),4.23(21),28.18(21),155.10(21),"6,285.97(21)","1,373(21)",11.62(21),"34,867(21)",0.46(21),650(21),4.08(21),38.50(21)
006650,대한유화,"22,844","-1,650","-1,120",-7.22,-4.90,-5.68,22.16(21),216.63(21),"4,859.29(21)","-17,146",-9.87,"306,736",0.55,"2,167",1.91(21),14.42(21)
010780,아이에스동서,"23,190","3,604","2,212",15.54,9.54,15.77,140.91(21),43.38(21),"7,919.77(21)","6,752",5.20,"46,548",0.75,"1,200",2.71(21),34.88(21)
032350,롯데관광개발,"2,080",-934,"-1,951",-44.92,-93.82,-105.26,"2,371.97(21)",35.28(21),14.31(21),"-2,723",-4.95,"4,309",3.13,-,-,-(21)
280360,롯데제과,"40,938","1,308",792,3.19,1.93,3.97,100.96(21),80.51(21),"39,657.59(21)","8,197",14.65,"231,183",0.52,"1,600",1.33(21),29.40(21)
103140,풍산,"43,706","2,436","1,760",5.57,4.03,9.98,86.77(21),60.94(21),"1,090.58(21)","6,278",5.56,"67,513",0.52,911,3.21(21),11.51(21)
161890,한국콜마,"18,731",936,576,5.00,3.08,5.08,91.68(21),65.06(21),"5,851.94(21)","1,553",28.20,"31,244",1.40,427,1.03(21),26.52(21)
178920,PI첨단소재,"2,880",520,504,18.07,17.50,15.00,45.13(21),142.01(21),"2,651.35(21)","1,716",20.11,"11,780",2.93,"1,032",1.98(21),50.01(21)
185750,종근당,"14,740","1,137",840,7.71,5.70,14.21,84.99(21),120.82(21),"1,989.99(21)","6,675",12.30,"50,468",1.63,"1,009",0.86(21),26.31(21)
039130,하나투어,"1,309",-993,-876,-75.86,-66.91,-106.00,645.54(21),95.35(21),"1,579.78(21)","-5,399",-11.67,"4,541",13.87,-,-,-(21)
003240,태광산업,"25,918(21)","3,553(21)","3,184(21)",13.71(21),12.28(21),8.77(21),23.96(21),175.12(21),"68,542.10(21)","285,347(21)",3.66(21),"4,626,787(21)",0.23(21),"1,750(21)",0.17(21),0.46(21)
005250,녹십자홀딩스,"18,406(21)",862(21),"1,277(21)",4.69(21),6.94(21),5.68(21),83.01(21),91.73(21),"3,782.80(21)","1,116(21)",24.34(21),"22,586(21)",1.20(21),400(21),1.47(21),32.86(21)
009420,한올바이오파마,"1,119",53,54,4.77,4.80,3.32,21.40(21),131.72(21),532.76(21),106,158.61,"3,342",5.03,-,-,-
009900,명신산업,"14,858","1,155","1,086",7.77,7.31,30.85,142.18(21),89.20(21),"1,101.54(21)","2,069",8.42,"7,748",2.25,-,-,-
016380,KG스틸,"33,548(21)","2,969(21)","1,907(21)",8.85(21),5.68(21),17.99(21),140.93(21),56.08(21),106.80(21),"1,908(21)",5.55(21),"11,498(21)",0.92(21),100(21),0.94(21),5.24(21)
300720,한일시멘트,"14,515","1,236",927,8.52,6.39,6.16,62.53(21),67.57(21),"3,858.27(21)","1,242",9.62,"20,514",0.58,540,2.57(21),45.79(21)
069260,TKG휴켐스,"12,326","1,246",972,10.11,7.89,13.36,31.92(21),257.25(21),"1,758.94(21)","2,373",8.23,"19,622",1.00,"1,067",4.32(21),50.71(21)
073240,금호타이어,"36,320",650,-870,1.79,-2.40,-7.34,238.82(21),64.31(21),-23.55(21),-306,-10.92,"4,268",0.78,-,-,-
192080,더블유게임즈,"6,229","1,805",226,28.98,3.63,3.35,16.63(21),231.33(21),"9,161.99(21)","1,601",30.61,"55,063",0.89,706,1.21(21),9.47(21)
192820,코스맥스,"16,003",619,210,3.87,1.31,6.38,203.39(21),61.82(21),"9,525.86(21)","3,280",23.78,"53,448",1.46,477,-,8.38(21)
031430,신세계인터내셔날,"15,649","1,249","1,039",7.98,6.64,13.53,61.07(21),102.61(21),"1,907.20(21)","2,883",8.60,"22,544",1.10,551,1.03(21),13.05(21)
001680,대상,"41,095","1,444",748,3.51,1.82,6.01,130.15(21),105.13(21),"3,449.20(21)","2,094",10.17,"35,673",0.60,800,3.43(21),20.00(21)
003850,보령,"7,400",560,530,7.57,7.16,10.95,74.70(21),209.24(21),"1,349.33(21)",772,12.57,"7,500",1.29,107,0.68(21),15.31(21)
004490,세방전지,"14,790",850,610,5.75,4.12,4.99,38.98(21),121.58(21),"17,049.72(21)","4,286",10.97,"92,364",0.51,600,0.79(21),9.54(21)
005440,현대그린푸드,"38,343",860,"1,070",2.24,2.79,5.21,40.69(21),99.54(21),"3,424.91(21)",993,7.37,"21,778",0.34,210,2.45(21),42.19(21)
013890,지누스,"11,790",656,520,5.56,4.42,10.11,113.00(21),83.86(21),"5,921.10(21)","2,847",13.47,"30,081",1.27,813,1.10(21),15.88(21)
381970,케이카,"22,770",559,345,2.46,1.52,12.72,99.67(21),34.14(21),"1,036.40(21)",718,19.53,"5,559",2.52,834,-,77.10(21)
057050,현대홈쇼핑,"22,384","1,327","1,400",5.93,6.25,7.24,38.14(21),53.40(21),"3,152.13(21)","11,667",4.83,"173,397",0.32,"2,600",3.79(21),27.02(21)
105630,한세실업,"22,196","1,878","1,000",8.46,4.50,19.91,161.88(21),52.73(21),"2,395.90(21)","2,510",6.72,"13,865",1.22,585,2.28(21),29.14(21)
241590,화승엔터프라이즈,"17,147",694,381,4.05,2.22,6.45,141.68(21),57.08(21),"1,138.81(21)",580,19.01,"9,144",1.21,55,0.27(21),-41.84(21)
284740,쿠쿠홈시스,"8,932(21)","1,786(21)","1,692(21)",20.00(21),18.94(21),26.53(21),38.55(21),173.48(21),"28,714.40(21)","6,780(21)",5.78(21),"28,790(21)",1.36(21),650(21),1.66(21),9.58(21)
294870,HDC현대산업개발,"33,639(21)","2,734(21)","1,763(21)",8.13(21),5.24(21),6.28(21),127.58(21),143.88(21),776.48(21),"2,679(21)",8.55(21),"43,665(21)",0.52(21),600(21),2.62(21),22.40(21)
020000,한섬,"15,672","1,712","1,257",10.92,8.02,9.97,25.53(21),81.15(21),"10,157.70(21)","5,242",5.33,"61,557",0.45,625,1.69(21),11.51(21)
