행 레이블,합계 : 승차총승객수,합계 : 하차총승객수
도곡,3536364,3519291
도농,2994468,2762842
도림천,409187,420791
도봉,1857585,1786531
도봉산,5537689,5195995
도심,735224,591967
도원,934828,951736
도화,1288134,1194256
독립문,2165046,2248270
독바위,849883,915776
독산,4977485,5202618
돌곶이,2739332,2569070
동대문,9430457,9439551
동대문역사문화공원(DDP),8750573,8968557
동대입구,2325318,2474596
동두천,650252,758615
동두천중앙,981184,955448
동묘앞,5555396,5679773
동암,4700924,4739468
동인천,4339480,4141488
동작(현충원),1278358,1208170
두정,1719579,1751855
둔촌동,2603250,2601616
둔촌오륜,342544,311671
등촌,3360848,3323595
디지털미디어시티,8459122,8395444
뚝섬,6370449,6795568
뚝섬유원지,2756360,2673491
마곡,2916430,2889254
마곡나루(서울식물원),5556584,5502908
마두,2229743,2294981
마들,3802235,3617636
마석,1233881,1222380
마장,1685707,1581324
마천,1949884,1945960
마포,4071364,4163937
마포구청,4249154,3832443
망우,2374006,2347023
망원,4414067,4787664
망월사,2285775,2337405
망포,4155444,3951943
매교,876847,890177
매봉,3555554,3408760
매탄권선,1473356,1417590
먹골,3101674,3038258
면목,4757928,4671463
명동,5295070,5548618
명일,2580229,2653660
명학,2641783,2612281
모란,7822066,7588769
목동,5001211,5409242
몽촌토성(평화의문),1813397,1844939
무악재,1171662,1195886
문래,6120658,6279664
문산,1613187,1600581
문정,6085641,6369424
미금,4613804,4883361
미사,4533704,4501332
미아(서울사이버대학),4542333,4414501
미아사거리,8486516,8242038
반월,1331327,1278215
반포,1756811,1687195
발산,5809692,5986203
방배,4912661,5150167
방이,2119981,2167152
방학,2953662,2888247
방화,2044132,1960551
배방,325041,317634
백마,2041752,1966031
백석,3029642,3039599
백양리,44768,42557
백운,2177983,2152273
버티고개,617014,623063
범계,7743283,7622026
별내,938777,900073
병점,4362957,4386207
보라매,2906431,2881079
보문,2627980,2466095
보산,514967,478539
보정,731071,648665
복정,3255565,2839325
봉명,355999,342415
봉은사,4647493,4719406
봉천,7248674,6758363
봉화산(서울의료원),2608123,2460210
부개,2609481,2450743
부발,606941,592286
부천,10297091,10358256
부천시청,3871156,3841947
부천종합운동장,1437028,1269887
부평,9585153,10204586
부평구청,2734695,2362248
북한산보국문,1818073,1732777
북한산우이,965448,921494
불광,6402503,6794994
사가정,5038912,5008637
사당,18290895,18207259
사릉,1033972,996457
사리,1280494,1140876
사평,986424,971894
산본,4840901,5159437
산성,1871635,1886939
삼각지,3266724,3198290
삼동,697460,644481
삼산체육관,1563951,1428994
삼성(무역센터),14467494,14595638
삼성중앙,1884869,1963432
삼송,5638653,5510220
삼양,620316,660306
삼양사거리,751677,764714
삼전,2033218,1971205
상갈,1636808,1588595
상계,5805977,5408038
상도,3152768,3050171
상동,3932973,4071994
상록수,4908621,4938592
상봉(시외버스터미널),7092307,6789681
상수,2468196,2769967
상왕십리,4227491,4105827
상월곡(한국과학기술연구원),1874516,1680219
상일동,4704916,4303154
상천,107210,97051
새절(신사),3863630,3640629
샛강,1619083,1679597
서강대,641793,617845
서대문,5190403,5259597
서동탄,450372,404778
서빙고,590689,553754
서울대입구(관악구청),14427880,14184777
서울숲,3182351,3253416
서울역,20994624,20789248
서정리,2082669,1997736
서초,6167771,5928111
서현,7406656,7498838
석계,6203147,6618718
석수,2994587,2692581
석촌,4802128,4893806
석촌고분,1789313,1780262
선릉,19074232,19161545
선바위,2456603,2157167
선유도,2348069,2276574
선정릉,4953802,5332468
성균관대,4288417,4276288
성수,10135538,11100685
성신여대입구(돈암),7130604,6983756
성환,1152009,1153419
세류,942915,890804
세마,828245,769764
세종대왕릉,99178,99244
소래포구,1841994,1787322
소사,2805518,2699577
소요산,1082238,927033
솔밭공원,743557,721336
솔샘,1691761,1586210
송내,8087220,8070964
송도,789629,736241
송정,2044709,1939545
송탄,1398691,1336736
송파,2291844,2307344
송파나루,1465873,1577942
수내,3879652,3858323
수락산,3995183,3951781
수리산,1279279,1072993
수색,768131,793190
수서,9202312,9414008
수원,13901365,14056240
수원시청,3838154,4102423
수유(강북구청),10400874,10328366
수진,1604488,1464253
숙대입구(갈월),3813038,3724440
숭실대입구(살피재),3625187,3694155
숭의,1200121,1120164
시청,12239430,11973935
신갈,1324373,1322234
신금호,1885671,1957013
신길,3989422,3655515
신길온천,533384,497004
신내,526846,519049
신논현,9438585,9337084
신답,474081,542231
신당,6650683,6905410
신대방,8052187,7843112
신대방삼거리,4910814,4731044
신도림,15965782,15731963
신둔도예촌,424756,397741
신림,19272123,18722370
신목동,1155959,1038733
신반포,974484,962162
신방화,2045294,1993376
신설동,5859232,5720858
신용산,4591019,4854005
신원,81561,67799
신이문,2592826,2404523
신정(은행정),4134710,3380419
신정네거리,3085785,3187226
신중동,4272708,4252989
신창(순천향대),500084,483979
신촌,10135926,10400949
신포,554562,561062
신풍,3543873,3388913
신흥,1385593,1484671
쌍문,8944409,8211709
쌍용(나사렛대),624265,586915
아산,975001,877423
아신,186688,186642
아차산(어린이대공원후문),4573769,4480734
아현,3120301,3009243
안국,5730906,6011693
안산,3782462,3498773
안암(고대병원앞),2992539,2984582
안양,7023340,7014249
암사,5645080,5062777
압구정,9462084,9996501
압구정로데오,5766211,6341093
애오개,1973368,1977789
야당,2093589,2043149
야목,84241,69376
야탑,7623833,7945162
약수,4951857,4847924
양수,646633,649296
양원,548688,550963
양재(서초구청),11024086,11923427
양정,250854,217916
양주,2409862,2275637
양천구청,2007894,2121552
양천향교,2797959,2850821
양평,3063775,3055965
어린이대공원(세종대),3756407,3710476
어천,227313,228915
언주,2952583,2996274
여의나루,3394372,3760394
여의도,15056726,15002313
여주,681463,693822
역곡,8301740,8235241
역삼,13808153,15195871
역촌,1156354,1345641
연수,1401097,1379136
연신내,11426290,10808575
염창,5066826,4953436
영등포,12040918,12328831
영등포구청,7758707,7861364
영등포시장,2899846,2997522
영종,944061,955017
영통,2505202,2542472
오금,2934840,2746279
오류동,3699653,3477096
오리,3510108,2943468
오목교(목동운동장앞),6624961,7106114
오목천,842900,779081
오빈,96706,95869
오산,3121556,3101790
오산대,1059462,981279
오이도,2712027,2658004
옥수,2780461,2887889
온수(성공회대입구),5165455,4866737
온양온천,1187349,1208255
올림픽공원(한국체대),3162420,3003491
왕십리(성동구청),10476356,10365906
외대앞,2257732,2248385
용답,830943,825261
용두(동대문구청),713434,730742
용마산(용마폭포공원),1867252,1841789
용문,739693,737112
용산,10582301,10684987
우장산,4242216,4214334
운길산,322805,304406
운서,2008922,2031495
운정,1998795,1899581
원당,3408457,3262725
원덕,125579,120432
원인재,1378265,1435721
원흥,3053268,2915133
월계,2008822,1893023
월곡(동덕여대),3355206,3330213
월곶,796712,753285
월드컵경기장(성산),1514581,1585701
월롱,705127,681342
을지로3가,8950617,8979998
을지로4가,5350317,5367661
을지로입구,10866048,10983397
응봉,571529,496621
응암,5340275,5298444
의왕,2675561,2663252
의정부,5794585,5969295
이대,3793424,3970596
이매,2043243,1900361
이수,4720883,4581592
이천,812954,860264
이촌(국립중앙박물관),3385642,3377556
이태원,3159747,3274837
인덕원,7024598,7213298
인천,1593145,1546052
인천공항1터미널,1162389,1210294
인천공항2터미널,685876,651292
인천논현,1703943,1795833
인하대,1769092,1667400
일산,2781641,2759345
일원,2835197,2782154
임진강,10229,8408
잠실(송파구청),24832011,25182733
잠실나루,4118794,4021599
잠실새내,6255323,6297067
잠원,1438846,1416431
장승배기,2896722,2824959
장암,710636,327676
장지,5184061,5006536
장한평,5412300,5363633
정릉,1388384,1268899
정발산,2273550,2289103
정부과천청사,2944320,2924021
정왕,2667341,2788424
정자,4999269,5249083
제기동,5319659,5445738
제물포,3186927,3065206
종각,9610787,9253904
종로3가,14212645,14094666
종로5가,6624508,6577687
종합운동장,3475652,3631561
주안,5845656,5282258
주엽,2677610,2674049
죽전,4043052,4463214
중계,4242433,3870878
중곡,3063610,2874679
중동,2800605,2650707
중랑,1737795,1660217
중앙,5442163,5639340
중앙보훈병원,2874760,2575264
중화,3352190,3279772
증미,2147469,2148847
증산(명지대앞),3067890,3043552
지제,296378,279464
지축,1243074,1201910
지평,21869,24583
지행,1993157,1981942
직산,237750,237433
진위,479190,422242
창동,7803634,8261538
창신,1054687,872202
천마산,530011,502255
천안,1792004,1820186
천왕,3363902,3196703
천호(풍납토성),10269809,10866138
철산,6407662,6555749
청구,2326085,2287446
청담,5569243,6151746
청라국제도시,1935421,1835361
청량리(서울시립대입구),11188796,11439314
청명,1248935,1198434
청평,529551,521671
초월,922273,876965
초지,1412841,1472828
총신대입구(이수),5742452,6236403
춘의,2849426,2791930
춘천,505038,453907
충무로,7333869,7587710
충정로(경기대입구),4216769,4369021
탄현,2296832,2207979
탕정,22569,20562
태릉입구,4212279,4227116
태평,4206788,4041592
퇴계원,1116678,1034561
파주,398295,295491
판교,1330974,1290041
팔당,355538,367949
평내호평,1901511,1863379
평촌,5105787,5036427
평택,3939104,3892162
평택지제,682941,649545
풍산,1698758,1603226
하계,5286781,4993580
하남검단산,1293256,1267744
하남시청(덕풍·신장),1354996,1340498
하남풍산,1287388,1295406
학동,6725931,7127610
학여울,620178,637570
한강진,2450849,2825143
한남,1240443,1174463
한대앞,2758255,2755871
한성대입구(삼선교),4130829,4032750
한성백제,769397,699784
한양대,2150829,2273116
한티,4308435,4517347
합정,13413069,13747581
행당,2452183,2190104
행신,2329805,2339219
혜화,9531366,9606296
호구포,1171316,1214299
홍대입구,20122988,20861223
홍제,5247767,4994451
화계,1030029,970515
화곡,8512402,7973555
화랑대(서울여대입구),3354323,2660901
화서,2261938,2198373
화전,512543,477863
화정,5152171,5305814
회기,7389975,7159317
회룡,3823596,3793626
회현(남대문시장),6878240,7268624
효창공원앞,2915629,2839615
흑석(중앙대입구),2318285,2414093
총합계,2007773132,2000861086
