행 레이블,합계 : 승차총승객수,합계 : 하차총승객수
신사,9109779,9509905
4.19민주묘지,903824,851100
가능,2032353,1957536
가락시장,4953947,5148842
가산디지털단지,17804370,18596293
가양,6060881,5908155
가오리,1250332,1235310
가좌,1619185,1540538
가천대,2315697,2601309
가평,594696,594664
간석,1803043,1721692
갈매,918924,802858
강남,24377843,23939149
강남구청,7546862,8417114
강동,5575816,5314518
강동구청,3075593,3186191
강매,940574,827669
강변(동서울터미널),9405886,9224963
강일,805416,806245
강촌,178850,173285
개롱,1939145,2026719
개봉,6562396,6646336
개포동,1122457,1155955
개화,759992,550572
개화산,1633611,1572054
거여,2555801,2446703
건대입구,14414318,15224448
검암,2050990,2024066
경기광주,2154350,2068286
경마공원,516325,509653
경복궁(정부서울청사),5813969,5801584
경찰병원,2149406,2154876
계양,2834568,2653946
고덕,2779561,2758054
고려대(종암),2335978,2241283
고색,1174100,1126314
고속터미널,22064907,22097341
고잔,2638845,2532612
곡산,177135,181793
곤지암,680585,687325
공덕,10988788,11112555
공릉(서울과학기술대),3584553,3575228
공항시장,897233,975010
공항화물청사,683213,736970
과천,1720548,1585033
관악,2265057,2109939
광나루(장신대),3964334,3659792
광명,1008762,873228
광명사거리,6871441,6783756
광운대,2492648,2410186
광화문(세종문화회관),8395032,8720043
광흥창(서강),2606441,2518764
교대(법원.검찰청),13510645,13302059
구로,5689615,5802692
구로디지털단지,17541602,17564504
구룡,581300,563372
구리,4122825,4203451
구반포,730013,758611
구산,2295241,1751974
구성,1457399,1535115
구의(광진구청),7003380,6926037
구일,1970092,1996349
구파발,6232093,5987231
국수,238806,234930
국회의사당,4220821,4286545
군자(능동),7837304,7289345
군포,2247317,2216089
굴봉산,53881,53506
굴포천,2718612,2862131
굽은다리(강동구민회관앞),2902549,2759566
금곡,473622,453801
금릉,1429305,1390044
금정,7902267,8036850
금천구청,3580417,3569442
금촌,1991638,1985464
금호,2457479,2318027
기흥,2863578,2717340
길동,2431938,2526094
길음,6007274,5842815
김유정,118142,128479
김포공항,8878287,8369273
까치산,8807037,8517173
까치울,2344862,2276923
낙성대(강감찬),8324317,8054959
남구로,4717338,4950010
남동인더스파크,657042,722635
남부터미널(예술의전당),8662955,8913232
남성,3343404,3124498
남영,2725706,2852088
남위례,40542,45447
남춘천,811715,834109
남태령,374221,320306
남한산성입구(성남법원.검찰청),4119547,3766537
내방,4169365,4239565
노들,1351726,1161326
노량진,10537363,10388272
노원,11790452,12752261
녹번,4514785,4109629
녹사평(용산구청),1560044,1546710
녹양,1409026,1347162
녹천,1431968,1213787
논현,5856554,6318677
능곡,1154617,1068549
단대오거리,3190131,3080142
달월,29287,21661
답십리,4718722,4333760
당고개,3947615,3631040
당산,10839688,11622142
당정,1833487,1758981
대곡,567388,445932
대공원,1135244,1182855
대림(구로구청),10037650,10233303
대모산입구,1133880,1054543
대방,3786638,3890553
대성리,186834,166767
대야미,1546338,1391716
대청,2909750,2686323
대치,3322692,3263727
대화,3888528,3190251
대흥(서강대앞),2374412,2439219
덕계,914192,827907
덕소,1756034,1732380
덕정,1728918,1681093
