행 레이블,합계 : 승차총승객수,합계 : 하차총승객수
신사,8960105,9618247
4.19민주묘지,837735,795711
가능,1976309,1887701
가락시장,5049883,5306849
가산디지털단지,17377043,18252425
가양,5979266,5793346
가오리,1175522,1148666
가좌,1549497,1433596
가천대,2093112,2367077
가평,573556,578571
간석,1750158,1660665
갈매,848170,734837
강남,25835159,26062685
강남구청,7164023,8117855
강동,5987140,5352757
강동구청,3019515,3124148
강매,864812,741587
강변(동서울터미널),10262459,10183619
강촌,162185,154485
개롱,1876395,1944032
개봉,6522609,6581523
개포동,1012224,1049046
개화,747305,551335
개화산,1588554,1521135
거여,2283411,2155460
건대입구,14724992,15907592
검암,2180310,2127190
경기광주,2023849,1923763
경마공원,626319,626966
경복궁(정부서울청사),5536737,5533019
경찰병원,2188943,2184554
계양,2768511,2531820
고덕,2528866,2516870
고려대(종암),2317217,2226307
고색,249606,243787
고속터미널,21904839,22149767
고잔,2407884,2337702
곡산,166098,172600
곤지암,610900,612906
공덕,10811813,11045027
공릉(서울과학기술대),3537313,3530458
공항시장,857489,937962
공항화물청사,701001,767893
과천,1470443,1327574
관악,2255010,2074704
광나루(장신대),3905612,3555984
광명,910320,753498
광명사거리,7112825,7001262
광운대,2474841,2358085
광화문(세종문화회관),8812591,9228789
광흥창(서강),2561973,2472232
교대(법원.검찰청),13785592,13655019
구로,5459644,5567848
구로디지털단지,17918936,17925315
구룡,461727,452317
구리,4045006,4113286
구반포,805902,843355
구산,2189061,1658894
구성,1389869,1424185
구의(광진구청),7071479,6886664
구일,1939745,1983341
구파발,6243743,5906166
국수,225271,222956
국회의사당,4340975,4354313
군자(능동),7630111,7006679
군포,2174894,2135884
굴봉산,51860,52726
굴포천,2587645,2706251
굽은다리(강동구민회관앞),2733009,2575116
금곡,448998,425292
금릉,1311865,1288930
금정,7654394,7831758
금천구청,3449347,3393487
금촌,1940914,1921957
금호,2468779,2291188
기흥,2751581,2617408
길동,2252671,2355780
길음,6037568,5777071
김유정,102684,111991
김포공항,7476698,7047781
까치산,8845123,8415880
까치울,2222795,2133753
낙성대,1743341,1678471
낙성대(강감찬),6654553,6359786
남구로,4656746,4917141
남동인더스파크,617574,672904
남부터미널(예술의전당),8716005,8946017
남성,3372699,3116470
남영,2833180,2964104
남춘천,740672,766423
남태령,347097,292690
남한산성입구(성남법원.검찰청),4025913,3638646
내방,4096688,4174268
노들,1319404,1131212
노량진,10815731,10779160
노원,11872483,13026331
녹번,4206318,3749987
녹사평(용산구청),1468002,1482251
녹양,1394060,1325123
녹천,1412236,1180062
논현,5780786,6349181
능곡,1096755,1006231
단대오거리,3047509,2891049
달월,24319,18276
답십리,4718160,4309247
당고개,3851899,3542801
당산,11025284,11764059
당정,1819240,1733962
대곡,535078,412954
대공원,876638,933395
대림(구로구청),10260124,10398358
대모산입구,1005335,930651
대방,3856167,3919126
대성리,198031,181432
대야미,1521621,1350776
대청,2815298,2576787
대치,3214993,3124050
대화,3972288,3163997
대흥(서강대앞),2310809,2384581
덕계,761487,678756
덕소,1756236,1738583
덕정,1730752,1684955
도곡,3363910,3379615
도농,2901953,2637896
도림천,369820,385576
도봉,1824921,1734217
도봉산,5421028,5030011
도심,755168,600834
도원,928108,946119
도화,1136226,1025642
독립문,2151631,2237731
독바위,846098,911266
독산,4713922,4921942
돌곶이,2636174,2460938
동대문,9735705,9917208
동대문역사문화공원,2263745,2308042
동대문역사문화공원(DDP),7003162,7210903
동대입구,2299998,2478610
동두천,599443,724912
동두천중앙,972839,945347
동묘앞,5405112,5536831
동암,4830001,4838255
동인천,4346086,4150092
동작(현충원),1312514,1235246
두정,1451716,1477618
