,년,표준버스정류장ID,정류장명,위도,경도,승차수,하차수
88,2019,100000124,혜화역.마로니에공원,37.5811194,127.0022769,1345850,1392207
89,2019,100000125,혜화역.서울대병원입구,37.5810636,127.0019395,1096757,407325
90,2019,100000126,방송통신대.이화장,37.5781296,127.0019937,184883,149531
91,2019,100000127,이화동(이화장),37.5761193,127.0006951,395115,143371
92,2019,100000128,창경궁.서울대학교병원,37.5788279,126.9968717,318443,585120
93,2019,100000129,이화동(이화장),37.5759372,127.0032708,117993,144122
94,2019,100000130,혜화동로터리,37.5857646,127.0007246,130978,119086
95,2019,100000131,명륜동2가.성균관대입구,37.5833334,126.9993987,672773,676368
96,2019,100000132,혜화역.서울연극센터(장면총리가옥),37.5840228,127.0013281,368654,614705
97,2019,100000133,혜화역.동성중고(장면총리가옥),37.5845697,127.0017176,1483070,586097
98,2019,100000135,종로구민회관.창신동두산아파트,37.5740926,127.0155555,143129,264458
99,2019,100000139,동묘역앞,37.5716849,127.0156014,75419,95964
100,2019,100000140,동묘역앞,37.5719221,127.015945,77217,74971
101,2019,100000142,창신3동주민센터,37.578413,127.015178,120827,134172
102,2019,100000143,숭인1동주민센터.창신역4번출구,37.578772,127.0155485,270359,138940
103,2019,100000144,동묘역.롯데캐슬천지인,37.57418,127.0158023,820637,195427
104,2019,100000147,신설동로터리,37.5759288,127.0227802,300142,817064
105,2019,100000150,구기동현대빌라,37.609682,126.956622,15019,116938
106,2019,100000151,광장시장,37.5694963,126.9977437,198869,320402
107,2019,100000153,혜화경찰서,37.5725807,126.9974787,74839,108993
108,2019,100000154,서울역사박물관.김구집무실(경교장),37.5699003,126.9721318,24697,99630
109,2019,100000155,청계3가.관수교,37.5686887,126.9937793,4328,12920
110,2019,100000156,청계6가.버들다리,37.5699303,127.0080377,67874,68913
111,2019,100000157,청계7가.맑은내다리,37.5699975,127.0129554,60510,46688
112,2019,100000158,청계8가.영도교,37.5709465,127.0182311,49567,32596
113,2019,100000159,원남동사거리,37.5757228,126.9982146,69222,187815
114,2019,100000165,숭인동,37.5742721,127.0204373,292808,188242
115,2019,100000169,조계사,37.5728003,126.9831609,98664,227597
116,2019,100000174,세종문화회관,37.5739496,126.9768672,256746,190405
117,2019,100000179,이화동(이화장),37.576257,127.002955,18551,174891
118,2019,100000180,상명대정문,37.6016197,126.9550207,734683,880973
119,2019,100000181,이북오도청,37.6130503,126.9558882,103155,92430
120,2019,100000188,상명대입구.세검정교회,37.5994435,126.9597921,20385,97792
121,2019,100000189,상명대입구.석파랑,37.5995718,126.9581941,303192,119598
122,2019,100000190,종로중부새마을금고,37.5724174,127.0065911,159535,254477
123,2019,100000191,신설동로터리.신한은행앞.서울풍물시장,37.574386,127.0231182,172294,143769
124,2019,100000192,청계2가.삼일교,37.5684458,126.9872214,14766,33379
125,2019,100000193,청계8가.황학교,37.5721307,127.022787,54146,41619
126,2019,100000330,종로1가,37.57037,126.980129,346310,216855
127,2019,100000355,평창동삼성아파트,37.6111136,126.9787596,54532,192656
128,2019,100000362,영천시장,37.5696103,126.9630063,1005666,659131
129,2019,100000363,영천시장,37.5699391,126.9625329,1103834,1284071
130,2019,100000364,동묘앞,37.5737292,127.0178163,70573,58102
131,2019,100000365,동대문(흥인지문),37.5719529,127.0120461,1344289,1827531
132,2019,100000366,동묘앞,37.5737786,127.0184085,1110695,620199
133,2019,100000367,동묘앞,37.5742434,127.019672,1202219,1436006
134,2019,100000368,서대문역사거리.적십자병원,37.5671081,126.9675878,567367,380771
135,2019,100000369,안국역.서울공예박물관,37.5764011,126.9847682,260024,518435
136,2019,100000370,안국역.인사동,37.5763329,126.9855365,57537,193950
137,2019,100000376,강북삼성병원,37.5681459,126.9686004,19209,47565
138,2019,100000379,서울역사박물관.경희궁앞,37.569412,126.970609,584455,539077
139,2019,100000380,서울역사박물관.경희궁앞,37.569135,126.97038,1132156,1197431
140,2019,100000384,광화문,37.5701354,126.9752507,1498949,1365451
141,2019,100000385,광화문,37.5702168,126.9780854,1016009,1116883
142,2019,100000386,종로1가,37.5701482,126.981066,1670245,1371212
143,2019,100000387,종로1가,37.570229,126.9813906,1397865,1493860
144,2019,100000388,종로2가,37.5701386,126.9855426,1909695,1500967
145,2019,100000389,종로2가,37.5702571,126.9862474,2030363,1602452
146,2019,100000390,종로3가.탑골공원,37.5702449,126.9895646,2085682,1240727
147,2019,100000391,종로3가.탑골공원,37.5703605,126.9899877,1511999,1873304
148,2019,100000392,종로4가.종묘,37.5705069,126.9947218,745674,744461
149,2019,100000393,종로4가.종묘,37.5706271,126.9952838,492234,999167
150,2019,100000394,종로5가.광장시장,37.5707567,126.9988498,1543656,1584780
