,구분,2003,2003건강,2003재정,2003관계,2003가정,2003사회,2004,2004건강,2004재정,2004관계,2004가정,2004사회,2005,2005건강,2005재정,2005관계,2005가정,2005사회,2006,2006건강,2006재정,2006관계,2006가정,2006사회,2007,2007건강,2007재정,2007관계,2007가정,2007사회,2008,2008건강,2008재정,2008관계,2008가정,2008사회,2009,2009건강,2009재정,2009관계,2009가정,2009사회,2010,2010건강,2010재정,2010관계,2010가정,2010사회,2011,2011건강,2011재정,2011관계,2011가정,2011사회,2012,2012건강,2012재정,2012관계,2012가정,2012사회,2013,2013건강,2013재정,2013관계,2013가정,2013사회,2014,2014건강,2014재정,2014관계,2014가정,2014사회,2015,2015건강,2015재정,2015관계,2015가정,2015사회,2016,2016건강,2016재정,2016관계,2016가정,2016사회,2017,2017건강,2017재정,2017관계,2017가정,2017사회,2018,2018건강,2018재정,2018관계,2018가정,2018사회,2019,2019건강,2019재정,2019관계,2019가정,2019사회,2020,2020건강,2020재정,2020관계,2020가정,2020사회,2021,2021건강,2021재정,2021관계,2021가정,2021사회
0,남자,,,,,,,,,,,,,6.41,6.78,5.14,6.72,6.88,6.5,6.48,6.82,5.26,6.79,6.91,6.61,6.53,6.92,5.47,6.8,6.89,6.59,6.59,7.02,5.61,6.8,6.86,6.64,6.62,7.02,5.72,6.8,6.87,6.66,6.67,7.03,5.95,6.83,6.86,6.7,6.7,7.02,5.95,6.84,6.9,6.79,6.81,7.15,6.09,6.94,7,6.88,6.92,7.24,6.28,6.99,7.07,7,6.96,7.23,6.25,7.12,7.16,7.05,7.01,7.29,6.31,7.15,7.21,7.08,7.02,7.28,6.33,7.15,7.22,7.1,7.02,7.3,6.33,7.12,7.23,7.1,6.97,7.34,6.21,7.15,7.17,6.98,6.89,7.36,6.31,6.92,7.01,6.83,6.54,7.03,5.97,6.61,6.66,6.44,6.29,6.69,5.73,6.38,6.45,6.21
1,여자,,,,,,,,,,,,,6.29,6.44,5.08,6.7,6.84,6.38,6.32,6.45,5.15,6.7,6.8,6.47,6.33,6.53,5.31,6.67,6.75,6.41,6.43,6.75,5.49,6.66,6.76,6.5,6.46,6.76,5.58,6.7,6.76,6.54,6.51,6.73,5.8,6.68,6.73,6.58,6.6,6.79,5.85,6.79,6.87,6.68,6.72,6.96,6,6.87,6.97,6.81,6.80,7.07,6.17,6.91,6.98,6.88,6.88,7.08,6.17,7.04,7.12,6.98,6.9,7.08,6.26,7.04,7.12,6.99,6.92,7.12,6.26,7.07,7.14,7,6.91,7.07,6.24,7.07,7.16,6.99,6.83,7.11,6.05,7.04,7.09,6.84,6.79,7.14,6.22,6.9,6.95,6.74,6.54,6.95,6.01,6.67,6.67,6.41,6.25,6.56,5.68,6.39,6.45,6.19
