행 레이블,합계 : 승차총승객수,합계 : 하차총승객수
신길온천,654105,599881
신내,257097,283755
신논현,10570402,10608591
신답,494592,555747
신당,8536992,8883422
신대방,10381738,9856220
신대방삼거리,5875063,5577077
신도림,24362823,24335379
신둔도예촌,106378,88761
신림,26714165,26127305
신목동,1488573,1293303
신반포,1244248,1262714
신방화,2926456,2832155
신설동,7450395,7230922
신용산,4873512,5154083
신원,102669,84372
신이문,3631019,3192649
신정,4195695,3341184
신정(은행정),1142291,898976
신정네거리,3879330,3904270
신중동,5229642,5179909
신창,632124,615440
신창(순천향대),181086,172689
신천,9406320,9329934
신촌,19129893,19545842
신포,517081,549999
신풍,4289260,4072707
신흥,1955410,2014201
쌍문,12428335,10762982
쌍용(나사렛대),215536,200339
쌍용동,804029,747630
아산,991729,858960
아신,330746,328846
아차산,4379558,4131192
아차산(어린이대공원후문),1164352,1098805
아현,3752319,3549407
안국,9883484,10612433
안산,6566766,6026365
안암,3944149,3999572
안암(고대병원앞),1113157,1128314
안양,10533334,10461720
암사,6408941,5655867
압구정,12915825,14113684
압구정로데오,5284908,5959605
애오개,2525572,2512978
야당,1098980,1026947
야탑,10301869,10765798
약수,6659805,6441455
양수,793562,793646
양원,725878,749890
양재,11736491,12527073
양재(서초구청),3234817,3441229
양정,326901,278314
양주,3452864,3056896
양천구청,2628516,2760182
양천향교,2720735,2681810
양평,3704965,3704145
어린이대공원,4819519,4837586
어린이대공원(세종대),1262095,1261693
언주,2656698,2657324
여의나루,4229192,4598661
여의도,15214348,15864044
여주,255810,243837
역곡,11206350,10773799
역삼,16338611,18083441
역촌,1410228,1650889
연수,1709334,1677070
연신내,15506608,14618743
염창,5709715,5544832
영등포,18864916,20035258
영등포구청,9018099,9089411
영등포시장,3012462,3277118
영종,422214,422721
영통,3273945,3339209
오금,3862385,3586082
오류동,4462478,4106648
오리,5453220,4553439
오목교,7240315,7758545
오목교(목동운동장앞),1949561,2092783
오빈,130394,127641
오산,3814999,3648056
오산대,1089776,1067313
오이도,3135798,3028331
옥수,3736889,3885927
온수,5273713,5008078
온수(성공회대입구),1455970,1392872
온양온천,1901969,1923093
올림픽공원,2137840,2114313
올림픽공원(한국체대),493273,473133
왕십리,4933016,5264992
왕십리(성동구청),10741683,9982043
외대앞,4637877,4362105
용답,940146,946181
용두,654440,690167
용두(동대문구청),176614,186230
용마산,2372275,2220234
용문,1256996,1240853
용산,14519150,14568436
우장산,5823946,5739400
운길산,473371,437795
운서,1999640,2005802
운정,1795450,1634849
원당,4544347,4313567
원덕,161018,154741
원인재,1689990,1730416
원흥,2268623,1953165
월계,2234113,2030746
월곡,3713118,3510737
월곡(동덕여대),1017371,956955
월곶,973590,899459
월드컵경기장,2259852,2417117
월드컵경기장(성산),594077,627493
월롱,834094,936980
을지로3가,10631038,10954073
을지로4가,6541315,6656569
을지로입구,18868826,18770053
응봉,754901,645891
응암,6524010,6293576
의왕,3175644,3009502
의정부,8454456,8843596
이대,8019732,8523683
이매,2177359,2058080
이수,6261791,6189073
이천,225241,232993
이촌,4111601,4130663
이촌(국립중앙박물관),1107912,1111785
이태원,6055535,6867932
인덕원,9312240,9136213
인천,2170432,2182308
인천국제공항,5079011,4738929
인천논현,2137689,2208664
인하대,1452705,1393251
일산,3474980,3358091
일원,3411475,3531550
잠실,28186965,26952990
잠실(송파구청),7600980,7303081
잠실나루,6553226,6299987
잠실새내,371699,374690
잠원,2097629,2026729
장승배기,3965292,3846864
장암,962262,380003
장지,5330670,5155686
장한평,6788853,6777259
정발산,3431398,3625851
정부과천청사,4509099,4347631
정왕,3485754,3683909
정자,6089654,6581768
제기동,7076385,7211172
제물포,3604774,3402093
종각,17178472,16268446
종로3가,21465780,21569978
종로5가,9909165,9955984
종합운동장,7789818,8107482
주안,10557200,10179427
주엽,3531722,3580957
죽전,6383483,7073376
중계,5932753,5370998
중곡,3809099,3499190
중동,3777307,3526299
중랑,2242601,2115914
중앙,6424820,6756659
중화,4303621,4077083
증미,2605275,2660812
증산,3048068,2890617
증산(명지대앞),823700,788533
지제,374726,368661
지축,489602,506151
지행,2720141,2699256
직산,370047,398565
진위,616871,553212
창동,11074121,11899649
창신,1244747,1061678
천마산,465378,439092
천안,3368685,3004786
천왕,3025900,2781166
천호,11603890,12539927
천호(풍납토성),3059633,3310055
철산,8996660,9080779
청구,2906723,2901216
청담,7662555,8874948
청라국제도시,1724444,1648420
청량리(서울시립대입구),3330554,3576997
청량리(지상),4540003,5065285
청량리(지하),8590784,8877025
청명,1542597,1420446
청평,947221,883957
초월,194744,187619
초지,1638118,1601684
총신대입구,6477825,7218489
총신대입구(이수),1736258,1963763
춘의,3011131,2927499
춘천,923454,801868
충무로,12197169,12545055
충정로,4633467,4930239
충정로(경기대입구),1314360,1391881
탄현,2840849,2700059
태릉입구,5247252,5357432
태평,5403895,5213719
퇴계원,1270666,1140830
파주,604097,443104
판교,251749,231057
팔당,321733,312837
평내호평,2117061,2064397
평촌,5752871,5660645
평택,5321753,5259086
풍산,1701668,1591133
하계,7561240,7123088
학동,7891249,8763172
학여울,1156857,1189379
한강진,2342472,2847579
한남,1636370,1632051
한대앞,3587447,3485432
한성대입구,4892440,4668295
한성대입구(삼선교),1338743,1282018
한양대,4224330,4931191
한티,5195782,5426090
합정,17103538,17268158
행당,3099168,2690517
행신,2749964,2609673
혜화,15863487,16606436
호구포,1190629,1208510
홍대입구,31749130,33826223
홍제,7507444,7061544
화곡,10717405,9876776
화랑대,3782749,2861794
화랑대(서울여대입구),1065587,799707
화서,3178219,3154066
화전,920399,873243
화정,7314233,7614593
회기,11163504,10923326
회룡,4963020,4750476
회현,8585888,9103779
회현(남대문시장),2387224,2508324
효창공원앞,3220324,3111414
흑석(중앙대입구),3929584,4060885
총합계,2658363941,2646790536
