행 레이블,합계 : 하차총승객수,합계 : 승차총승객수
양평,3660809,3654315
어린이대공원(세종대),5834873,5783565
언주,2967042,2972116
여의나루,4460695,4213532
여의도,15823258,15368286
여주,836325,853367
역곡,11026744,11397266
역삼,18435226,16718892
역촌,1667085,1452150
연수,1895980,1911955
연신내,14624701,15463420
염창,5644452,5888203
영등포,18818901,17947768
영등포구청,9213333,9057876
영등포시장,3681669,3430133
영종,790460,785723
영통,3586543,3503142
오금,3585735,3863494
오류동,4034099,4364009
오리,4174789,4969527
오목교(목동운동장앞),9564827,8891248
오빈,123791,125906
오산,3745755,3915292
오산대,1191516,1218459
오이도,3539621,3658896
옥수,3814797,3665080
온수(성공회대입구),6356108,6575701
온양온천,1874667,1849883
올림픽공원(한국체대),2477418,2512972
왕십리(성동구청),14832851,15224800
외대앞,4110587,4323555
용답,1008223,997800
용두(동대문구청),888025,865007
용마산,2186181,2327274
용문,1122248,1124912
용산,15534561,15292445
우장산,5598830,5671720
운길산,314245,330169
운서,2378670,2298992
운정,1903706,2046828
원당,4207452,4407181
원덕,156035,163184
원인재,1742216,1712788
원흥,2709705,3042263
월계,2120853,2338898
월곡(동덕여대),4481359,4709764
월곶,907253,966612
월드컵경기장(성산),2701331,2541254
월롱,968581,971953
을지로3가,11609951,11562370
을지로4가,6476383,6331163
을지로입구,17855750,18095021
응봉,611326,697011
응암,6443619,6587359
의왕,3147113,3268145
의정부,8285299,7914424
이대,7702578,7264074
이매,2622431,2805322
이수,6072771,6103967
이천,988833,937857
이촌(국립중앙박물관),5104569,5120158
이태원,7292569,6418760
인덕원,9225466,9510796
인천,2042639,2066755
인천공항1터미널,5650559,5872192
인천공항2터미널,1731114,2029503
인천논현,2327949,2238325
인하대,2049410,2170653
일산,3371924,3440340
일원,3427489,3361275
잠실(송파구청),37353627,38178983
잠실나루,5942933,6163360
잠실새내,9735320,9621366
잠원,2205812,2288831
장승배기,3946068,4050329
장암,359041,894234
장지,6478445,6672588
장한평,6633545,6643129
정릉,1336121,1507778
정발산,3518839,3324075
정부과천청사,4207888,4488199
정왕,3508191,3326208
정자,6532203,6117456
제기동,7603684,7432600
제물포,3928738,4180170
종각,15143602,15902778
종로3가,21787113,21651227
종로5가,9384783,9376084
종합운동장,8297571,7941685
주안,8101177,8848507
주엽,3668235,3573263
죽전,6548767,5835565
중계,5272717,5739480
중곡,3459865,3760517
중동,3381889,3630220
중랑,2021465,2115835
중앙,6798961,6462666
중앙보훈병원,152866,162438
중화,4049606,4212912
증미,2586153,2535366
증산(명지대앞),3671404,3843331
지제,778094,828548
지축,513356,453369
지평,17590,19227
지행,2678352,2714217
직산,363397,346813
진위,555858,628561
창동,11243781,10545393
창신,1103569,1330092
천마산,521346,574340
천안,2693326,2915917
천왕,2968168,3200472
천호(풍납토성),15580582,14416840
철산,8916110,8681338
청구,2838302,2878658
청담,8144457,7117115
청라국제도시,2001368,2100484
청량리(서울시립대입구),16562449,15726974
청명,1470197,1585364
청평,789075,833127
초월,831477,886524
초지,1529717,1547167
총신대입구(이수),8810683,7885203
춘의,3151250,3246119
춘천,723520,834161
충무로,11843107,11616866
충정로(경기대입구),5954012,5698255
탄현,2622277,2736628
태릉입구,5466700,5345745
태평,5108538,5302816
퇴계원,1187864,1306241
파주,462226,645376
판교,1246497,1273965
팔당,368705,372858
평내호평,2096936,2159421
평촌,6040129,6148820
평택,5221649,5312012
풍산,1725478,1854066
하계,6869674,7294846
학동,8235268,7532057
학여울,1026719,1001236
한강진,3414384,2888878
한남,1537382,1587508
한대앞,3268851,3340998
한성대입구(삼선교),5813418,6058551
한성백제,48271,57028
한양대,4697346,4083039
한티,5556207,5310801
합정,18103610,17796079
행당,2723597,3094032
행신,2720503,2850446
혜화,15835950,15292392
호구포,1308789,1317704
홍대입구,35770069,33528376
홍제,6814340,7158602
화계,1063905,1126004
화곡,9967912,10810499
화랑대(서울여대입구),3601932,4725435
화서,2999971,3063674
화전,869157,930401
화정,7397312,7116696
회기,10404538,10699231
회룡,4502748,4641316
회현(남대문시장),11609836,10997261
효창공원앞,3464696,3590261
흑석(중앙대입구),3639846,3548627
총합계,2652134857,2662713279
