행 레이블,합계 : 승차총승객수,합계 : 하차총승객수
신사,11138477,12034343
4.19민주묘지,348269,348024
가능,2756442,2589214
가락시장,6272002,6628098
가산디지털단지,19645401,20671971
가양,7598487,7294209
가오리,412659,411091
가좌,1773751,1635138
가천대,3373073,3763635
가평,969242,1007876
간석,2469515,2321405
갈매,687896,601095
강남,36701549,36951935
강남구청,8333365,9400933
강동,6998407,6019762
강동구청,3855621,3927705
강매,963418,826052
강변(동서울터미널),17591592,17421974
강촌,296232,256269
개롱,2474805,2467534
개봉,8866312,8881608
개포동,1293085,1313337
개화,2379505,1592034
개화산,2144340,2009256
거여,2480946,2336591
건대입구,22437002,24450493
검암,3271290,3247214
경기광주,1998108,1948802
경마공원,2624608,2661187
경복궁(정부서울청사),9121715,9481954
경찰병원,2731211,2712484
계양,3968612,3683018
고덕,3482625,3376835
고려대(종암),3522422,3415249
고속터미널,34994225,35543863
고잔,3356728,3262326
곡산,216877,213755
곤지암,795852,767779
공덕,12797901,13064898
공릉(서울과학기술대),4722175,4668674
공항시장,1064776,1197110
공항화물청사,904045,999521
과천,1747266,1441415
관악,3177928,2958972
광나루(장신대),5237928,4723186
광명,610563,515559
광명사거리,9854599,9572987
광운대,3640675,3437432
광화문(세종문화회관),13404035,13945319
광흥창(서강),3479283,3377583
교대(법원.검찰청),18481327,18496733
구로,7724278,8029791
구로디지털단지,22742926,22745569
구룡,793607,759224
구리,5041612,5230549
구반포,1185690,1251133
구산,3005235,2224964
구성,1822704,1817820
구의(광진구청),8545817,8290120
구일,2980568,3072206
구파발,7382401,6665202
국수,349312,336093
국회의사당,5817241,5795440
군자(능동),9282744,8264098
군포,2732848,2639410
굴봉산,92257,87490
굴포천,3308673,3423225
굽은다리(강동구민회관앞),3581155,3369379
금곡,564411,540601
금릉,1803943,1784970
금정,10177067,10194897
금천구청,4258546,4013165
금촌,2728157,2645717
금호,3153515,2910768
기흥,2918405,2837224
길동,2768864,2869540
길음,9600998,9218974
김유정,205291,228763
김포공항,10060720,9229006
까치산,10950418,10365056
까치울,2504490,2309311
낙성대,11100526,10648284
남구로,5820973,6075704
남동인더스파크,772123,847648
남부터미널(예술의전당),12840057,13205895
남성,4273372,3983989
남영,4110964,4352102
남춘천,1186629,1250540
남태령,972127,415080
남한산성입구(성남법원.검찰청),5303208,4842544
내방,5124536,5253831
노들,1735336,1501291
노량진,16254228,16351558
노원,15993280,17685666
녹번,4732563,4084091
녹사평(용산구청),2696044,2850757
녹양,1860631,1707701
녹천,1910292,1560506
논현,6928028,7643700
능곡,1410310,1289102
단대오거리,4299447,3980632
달월,47781,36730
답십리,5910631,5388737
당고개,4852618,4566565
당산,14230684,14813850
당정,2730208,2617584
대곡,598068,450754
대공원,2056184,2151847
대림(구로구청),15030440,15385711
대모산입구,1196896,1084168
대방,5625338,5550112
대성리,378827,368441
대야미,1523583,1369293
대청,3684011,3270360
대치,4509016,4300690
대화,5483370,4392210
대흥(서강대앞),3045862,3212014
덕계,812759,744930
덕소,2392073,2381091
덕정,2613211,2536579
도곡,4839102,4831441
도농,3313860,2925433
도림천,384202,433322
도봉,2409680,2311656
도봉산,6518058,6072339
도심,1013770,831800
도원,1498860,1527813
도화,1483219,1345563
독립문,2971231,3060808
독바위,1071830,1149662
독산,5849002,6110554
돌곶이,3447637,3169589
동대문,14890710,15738554
동대문역사문화공원,16254417,16732633
동대입구,4290924,4863794
동두천,830609,1050720
동두천중앙,1472681,1401606
동묘앞,7066480,7227771
동암,7401914,7351541
동인천,6755017,6409284
동작(현충원),1741295,1629117
두정,2311076,2487981
둔촌동,4391264,4353982
등촌,3775356,3727056
디지털미디어시티,10183263,10117317
뚝섬,5937821,6285508
뚝섬유원지,3427724,3320459
마곡,2207970,1917523
마곡나루,1732393,1619491
마두,3036888,3148563
마들,4412548,4032518
마석,1409703,1423827
마장,2267134,2185300
마천,1896872,1904140
마포,5067462,5205252
마포구청,4987031,4399035
망우,3127779,3066285
망원,4969324,5377123
망월사,3244357,3266711
망포,4621065,4211741
매교,1053153,1032901
매봉,4055367,3895283
매탄권선,1626333,1516143
먹골,3912103,3745828
면목,5873560,5650185
명동,14525816,15658090
명일,2998929,3035291
명학,3727235,3723120
모란,10094838,9711294
목동,6710230,7095932
몽촌토성(평화의문),2518563,2655546
무악재,1534996,1541831
문래,6835675,6938370
문산,2387173,2339979
문정,4593906,4718765
미금,7100180,7654381
미아(서울사이버대학),6822614,6271181
미아사거리,11706665,11312798
반월,1826570,1701004
반포,2342650,2263398
발산,5143413,5136061
방배,7508768,7612335
방이,2615171,2632321
방학,3742586,3601592
방화,2750729,2599039
배방,398687,386243
백마,2472069,2281034
백석,4331962,4297004
백양리,79933,73150
백운,3383461,3291422
버티고개,901075,833431
범계,11025813,10763708
별내,908365,877719
병점,5754772,5743462
보라매,3373559,3409979
보문,3182646,2888224
보산,691637,642681
보정,1009560,825832
복정,3969343,3174218
봉명,517956,509875
봉은사,4723418,4603619
봉천,8500454,7798428
봉화산(서울의료원),3423328,3173644
부개,3737396,3484281
부발,596868,545969
부천,15321496,15248455
부천시청,4589742,4617464
부천종합운동장,1990367,1802914
부평,13991606,15387387
부평구청,4303707,3395438
북한산보국문,616195,573686
북한산우이,382802,375199
불광,9188563,9752677
사가정,5799903,5697532
사당,25983019,26898229
사릉,1337515,1252153
사평,973648,913927
산본,6707205,7144965
산성,2297562,2243353
삼각지,4609576,4473958
삼동,533632,419525
삼산체육관,1992927,1779255
삼성(무역센터),20451769,21085085
삼성중앙,1719013,1786144
삼송,5595966,5338849
삼양,215371,237597
삼양사거리,241532,256758
상갈,1932286,1808916
상계,7913282,7082141
상도,4165694,3981218
상동,5199305,5377343
상록수,7769835,7577818
상봉(시외버스터미널),8445351,8127315
상수,4039239,4761233
상왕십리,4723906,4493262
상월곡(한국과학기술연구원),2270829,2088376
상일동,4171149,3489641
상천,173142,156645
새절(신사),5041235,4796623
샛강,1872148,1970835
서강대,828702,838502
서대문,6213452,6307708
서동탄,589545,523798
서빙고,800259,813590
서울대입구(관악구청),19217513,18719136
서울숲,2630726,2637378
서울역,30985425,31216834
서정리,1988673,1960791
서초,8167026,8171911
서현,9908903,10118914
석계,8767911,9184662
석수,4255725,3767807
석촌,3171794,3335331
선릉,22387019,22821983
선바위,3278349,2663857
선유도,2436830,2421964
선정릉,5192837,5572413
성균관대,5771163,5535775
성수,9486637,10314037
성신여대입구(돈암),10036746,9408671
성환,1805918,1776157
세류,1555985,1460099
세마,974057,875151
세종대왕릉,107269,108934
소래포구,2027106,1929019
소사,4842744,4708574
소요산,1757001,1455469
솔밭공원,258327,258212
솔샘,555909,530927
송내,11949475,11771462
송도,1126378,1086128
송정,3415737,3332107
송탄,1865169,1817939
송파,2011140,1994654
수내,5091046,5107585
수락산,5178888,4972270
수리산,1721637,1376989
수색,871137,920761
수서,11108598,11021483
수원,20138583,19932606
수원시청,4006433,4498012
수유(강북구청),15918316,15534916
수진,1933430,1784406
숙대입구(갈월),6166028,6047191
숭실대입구(살피재),5569676,5523091
숭의,1183180,1119631
시청,17854571,17550161
신갈,1658597,1593324
신금호,2179955,2189502
신길,4924979,4397574
신길온천,674097,612353
신내,273372,293803
신논현,10570992,10652913
신답,494677,556061
신당,8590544,8903893
신대방,10396211,9819779
신대방삼거리,5897233,5620023
신도림,23660558,23642413
신둔도예촌,413897,361597
신림,25684116,25129223
신목동,1474507,1300943
신반포,1311675,1314179
신방화,2989977,2912227
신설동,7390780,7195450
신용산,4802243,5060952
신원,105248,87083
신이문,3557274,3139050
신정(은행정),5286523,4200417
신정네거리,3553463,3634132
신중동,5204235,5125238
신창(순천향대),802340,765077
신촌,18405287,18774118
신포,691362,718584
신풍,4143536,3946107
신흥,1768662,1867287
쌍문,12299367,10751393
쌍용(나사렛대),1003527,940460
아산,1119285,946277
아신,302866,300340
아차산(어린이대공원후문),5547997,5234884
아현,3754716,3594164
안국,9476837,10148498
안산,6314190,5820928
안암(고대병원앞),5007396,5083858
안양,10212193,10111342
암사,6573763,5778665
압구정,12317706,13405119
압구정로데오,5291254,6004557
애오개,2612305,2602652
야당,1392611,1296585
야탑,10361580,10856985
약수,6517011,6309787
양수,816410,812465
양원,683543,704451
양재(서초구청),14580639,15525927
양정,319711,279957
양주,3442956,3057728
양천구청,2513434,2633409
양천향교,2866441,2846331
양평,3674739,3684486
어린이대공원(세종대),5905994,5989537
언주,2884794,2901195
여의나루,4254513,4556531
여의도,15189820,15704072
여주,840601,821841
역곡,11415399,10972704
역삼,16312607,18010447
역촌,1405713,1650181
연수,1923887,1905019
연신내,15545527,14660496
염창,5823130,5583073
영등포,18159560,19178298
영등포구청,9054989,9203752
영등포시장,3140306,3414745
영종,669104,656444
영통,3321475,3390547
오금,3843447,3573615
오류동,4384035,4047681
오리,5250570,4353123
오목교(목동운동장앞),9122050,9768360
오빈,137394,133266
오산,3887955,3699220
오산대,1150443,1138642
오이도,3385811,3300942
옥수,3693394,3833508
온수(성공회대입구),6501042,6241735
온양온천,1916595,1931270
올림픽공원(한국체대),2324485,2270184
왕십리(성동구청),15396949,15065844
외대앞,4495698,4253465
용답,963561,971442
용두(동대문구청),830243,863509
용마산,2332083,2170005
용문,1225423,1216572
용산,14572903,14714618
우장산,5697923,5608748
운길산,377802,364541
운서,2036683,2069801
운정,1875166,1716104
원당,4418332,4212323
원덕,171870,164181
원인재,1829024,1836859
원흥,2749030,2392434
월계,2223647,2024203
월곡(동덕여대),4729320,4500757
월곶,1018901,950002
월드컵경기장(성산),2745136,2908114
월롱,923430,1004080
을지로3가,10727578,10973040
을지로4가,6324146,6413248
을지로입구,17763876,17574268
응봉,737206,631915
응암,6510197,6341712
의왕,3209695,3055568
의정부,8084125,8482612
이대,7341163,7792815
이매,2712546,2532893
이수,6109106,6063725
이천,889385,936516
이촌(국립중앙박물관),5245908,5247787
이태원,6360322,7249392
인덕원,9414905,9082783
인천,2215381,2206438
인천공항1터미널,119715,113069
인천국제공항,5960181,5669128
인천논현,2318494,2413375
인하대,2122085,1990109
일산,3486092,3381819
일원,3205546,3300945
잠실(송파구청),37422725,36138354
잠실나루,6329942,6076825
잠실새내,9655302,9701409
잠원,2231262,2142297
장승배기,4064015,3944606
장암,902273,359876
장지,6167572,5982080
장한평,6673018,6658400
정릉,441961,402966
정발산,3397790,3591283
정부과천청사,4593129,4283708
정왕,3396560,3577737
정자,6128361,6642641
제기동,7260403,7427539
제물포,4067718,3803107
종각,16559145,15623402
종로3가,21331014,21347362
종로5가,9561986,9566997
종합운동장,7991426,8304479
주안,9391190,8614312
주엽,3558002,3597648
죽전,5927576,6645758
중계,5741312,5262957
중곡,3734083,3440069
중동,3704388,3453844
중랑,2224735,2113119
중앙,6370616,6710444
중화,4121438,3914843
증미,2540718,2601922
증산(명지대앞),3868886,3699272
지제,646401,612031
지축,421380,466221
지평,20028,17710
지행,2733420,2713267
직산,355148,375300
진위,632536,566119
창동,10815597,11530250
창신,1289259,1073301
천마산,541351,501079
천안,3116734,2847860
천왕,3086318,2855624
천호(풍납토성),14367419,15555491
철산,8855250,8967205
청구,2867495,2867116
청담,7363360,8492326
청라국제도시,1855734,1773975
청량리(서울시립대입구),15735157,16654357
청명,1535519,1420274
청평,915485,858108
초월,820468,769607
초지,1625094,1590276
총신대입구(이수),7975532,8928836
춘의,3153419,3055858
춘천,887576,767408
충무로,11656921,11971449
충정로(경기대입구),5828463,6114512
탄현,2816399,2666861
태릉입구,5313956,5425722
태평,5379014,5127422
퇴계원,1297196,1170418
파주,630456,453470
판교,1059270,1036612
팔당,390790,382029
평내호평,2219871,2132453
평촌,6005429,5899888
평택,5368932,5285801
풍산,1758864,1640548
하계,7395097,6965300
학동,7611603,8424999
학여울,1083352,1112463
한강진,2558084,3076595
한남,1621027,1603474
한대앞,3485790,3364062
한성대입구(삼선교),6082911,5801523
한양대,4097751,4770077
한티,5195488,5441201
합정,17414420,17704526
행당,3057936,2671555
행신,2852518,2722835
혜화,15560265,16252068
호구포,1309106,1310045
홍대입구,32612304,34820890
홍제,7309280,6940239
화계,321096,313422
화곡,10756647,9919321
화랑대(서울여대입구),4777969,3645776
화서,3078964,3043840
화전,948187,888655
화정,7247499,7562139
회기,10775691,10556740
회룡,4766510,4588038
회현(남대문시장),11070706,11629323
효창공원앞,3479026,3366811
흑석(중앙대입구),3691368,3797802
총합계,2646453452,2634655240
