행 레이블,합계 : 승차총승객수,합계 : 하차총승객수
신사,12027225,12936797
4.19민주묘지,1178312,1132713
가능,2645816,2483626
가락시장,6520692,6838458
가산디지털단지,20342388,21261918
가양,7630162,7368226
가오리,1510949,1456656
가좌,1994546,1834580
가천대,3478309,3876480
가평,889037,908659
간석,2437583,2310430
갈매,981010,848503
강남,36432679,37197520
강남구청,8767057,9943676
강동,7452583,6517403
강동구청,3836477,3888966
강매,1073149,904357
강변(동서울터미널),16518779,16278790
강촌,242043,211564
개롱,2558985,2613141
개봉,8883244,8824427
개포동,1240717,1278182
개화,2121477,1432111
개화산,2162971,2049775
거여,2860028,2668503
건대입구,22117539,24012252
검암,2971890,2901974
경기광주,2571716,2425637
경마공원,2488008,2538524
경복궁(정부서울청사),9528244,9576553
경찰병원,2802976,2786240
계양,3954824,3632742
고덕,3563640,3473439
고려대(종암),3551425,3430200
고속터미널,35596000,36066051
고잔,3225844,3135456
곡산,213055,215482
곤지암,810496,802767
공덕,14059683,14330520
공릉(서울과학기술대),4787384,4731765
공항시장,1069502,1190345
공항화물청사,865333,972359
과천,1955049,1738357
관악,3145960,2987455
광나루(장신대),5293271,4793405
광명,1160972,910812
광명사거리,9580343,9345042
광운대,3538442,3381042
광화문(세종문화회관),13010710,13608992
광흥창(서강),3474464,3357729
교대(법원.검찰청),18658276,18560838
구로,7408334,7631216
구로디지털단지,22948410,22946305
구룡,639739,618223
구리,5272549,5390283
구반포,1142056,1199997
구산,2927350,2164030
구성,1872709,1862731
구의(광진구청),8863049,8538952
구일,2982813,3073497
구파발,8064163,7568795
국수,305728,296952
국회의사당,5905268,5756775
군자(능동),9545617,8689855
군포,2728782,2638117
굴봉산,66987,65301
굴포천,3411522,3560898
굽은다리(강동구민회관앞),3611901,3405637
금곡,593734,563222
금릉,1759572,1744575
금정,9843879,9970081
금천구청,4553828,4421584
금촌,2709550,2664989
금호,3181242,2930455
기흥,3923757,3762599
길동,2755021,2883262
길음,8577578,8230254
김유정,161517,178961
김포공항,10614595,9759765
까치산,11090457,10515718
까치울,2802154,2664315
낙성대,10962234,10547670
남구로,5844330,6182792
남동인더스파크,721881,789131
남부터미널(예술의전당),12678657,12946845
남성,4351324,4035300
남영,3943644,4195758
남춘천,1145950,1196278
남태령,581715,435380
남한산성입구(성남법원.검찰청),5273512,4815359
내방,5055184,5171710
노들,1720517,1484842
노량진,15335121,15310575
노원,15876161,17420841
녹번,5162854,4503838
녹사평(용산구청),2250457,2289521
녹양,1880350,1735960
녹천,1856167,1535829
논현,6908609,7562140
능곡,1409523,1292856
단대오거리,4088776,3824802
달월,27718,20411
답십리,5956237,5432941
당고개,4855158,4521003
당산,14944933,15565324
당정,2652947,2540281
대곡,655174,505389
대공원,1874418,1965712
대림(구로구청),14571288,14919431
대모산입구,1243495,1142745
대방,5347923,5382429
대성리,338994,328975
대야미,1760160,1556922
대청,3756116,3383802
대치,4617129,4439845
대화,5771863,4588606
대흥(서강대앞),3315580,3446194
덕계,876742,765059
덕소,2354625,2316218
덕정,2511731,2436819
도곡,4587715,4588577
도농,3626517,3209966
도림천,434433,466681
도봉,2341029,2209268
도봉산,6699631,6285057
도심,1010939,813230
도원,1434805,1468709
도화,1557230,1404674
독립문,3190488,3275742
독바위,1060082,1132488
독산,5907341,6196819
돌곶이,3199007,2991422
동대문,14462129,15020398
동대문역사문화공원,16189874,16600693
동대입구,4308153,4837683
동두천,854391,1040187
동두천중앙,1401447,1350421
동묘앞,7515603,7813483
동암,6642383,6608433
동인천,6314955,6013843
동작(현충원),1798686,1677873
두정,2255184,2418645
둔촌동,3267634,3311114
둔촌오륜,352059,320147
등촌,3743058,3757386
디지털미디어시티,10265190,10149788
뚝섬,6872603,7270314
뚝섬유원지,3478978,3369222
마곡,2407436,2216965
마곡나루,5517077,5331512
마두,3093382,3188536
마들,4473112,4169676
마석,1495776,1462623
마장,2311242,2224490
마천,1984237,1982722
마포,5140450,5257259
마포구청,5412458,4764129
망우,3058592,2985119
망원,5259638,5663506
망월사,3346553,3353089
망포,5156325,4765072
매교,928345,940497
매봉,4146365,3950165
매탄권선,1733241,1632901
먹골,3914515,3793108
면목,5990033,5779999
명동,13991897,15090983
명일,3097653,3198302
명학,3621633,3623229
모란,10243598,9952322
목동,6756583,7353033
몽촌토성(평화의문),2228235,2351295
무악재,1484778,1530732
문래,7308289,7404041
문산,2294797,2255330
문정,6766364,7008260
미금,6341784,6789669
미아(서울사이버대학),6253857,5865283
미아사거리,11104534,10749097
반월,1773798,1658816
반포,2424282,2348706
발산,6775036,6935856
방배,7206369,7394145
방이,2741013,2790366
방학,3770512,3621932
방화,2691900,2537263
배방,401953,389841
백마,2541133,2362831
백석,4244623,4239499
백양리,62589,59989
백운,3207808,3130079
버티고개,891620,838338
범계,10848058,10626102
별내,972358,933663
병점,6101920,6050461
보라매,3547061,3550143
보문,3403116,3156818
보산,688868,643680
보정,1014673,852983
복정,4223611,3532438
봉명,489469,477669
봉은사,6558074,6572837
봉천,9202734,8485194
봉화산(서울의료원),3676121,3332020
부개,3536653,3299284
부발,696894,652904
부천,14601366,14764553
부천시청,4725175,4720673
부천종합운동장,1858648,1562568
부평,13723883,14913935
부평구청,4361602,3513318
북한산보국문,2238352,2047903
북한산우이,1144931,1060435
불광,8858567,9467064
사가정,5930263,5853062
사당,26791341,27011547
사릉,1290686,1237415
사평,1173642,1135832
산본,6715813,7162338
산성,2149626,2092720
삼각지,4363495,4203754
삼동,787086,673949
삼산체육관,2016073,1815806
삼성(무역센터),21833212,22315548
삼성중앙,2087394,2133612
삼송,6424173,6096245
삼양,742363,792301
삼양사거리,894354,909191
삼전,1951497,1906946
상갈,2167811,2028175
상계,7664879,6894284
상도,4379924,4241821
상동,5352691,5557924
상록수,7588458,7393005
상봉(시외버스터미널),8718007,8334989
상수,3903028,4504942
상왕십리,5297196,5048449
상월곡(한국과학기술연구원),2433448,2244317
상일동,4811817,4059842
상천,146898,136823
새절(신사),5097692,4826346
샛강,1855130,1896172
서강대,845358,837415
서대문,6571773,6696998
서동탄,672264,581481
서빙고,770045,746518
서울대입구(관악구청),19441212,18786720
서울숲,3186406,3216162
서울역,34924701,34964127
서정리,2037805,1999606
서초,8559467,8501607
서현,10342348,10500995
석계,8522695,8967567
석수,4246861,3768204
석촌,5326898,5365810
석촌고분,1737914,1708725
선릉,23623974,24097079
선바위,3423078,2824925
선유도,2477211,2406876
선정릉,5788099,6240045
성균관대,5844542,5704164
성수,10470141,11360468
성신여대입구(돈암),10328697,10035611
성환,1763014,1719502
세류,1449738,1373040
세마,1121031,1016483
세종대왕릉,115735,116300
소래포구,1969990,1869805
소사,4163880,3951682
소요산,1576953,1308864
솔밭공원,885491,848512
솔샘,2048146,1884651
송내,11718429,11571967
송도,1064984,994789
송정,3236311,3085794
송탄,1876367,1832450
송파,3366538,3210437
송파나루,1367563,1422437
수내,5104085,5061280
