행 레이블,합계 : 승차총승객수,합계 : 하차총승객수
수락산,5024402,4915736
수리산,1660749,1339562
수색,822657,847270
수서,12159171,12160618
수원,20574257,20440341
수원시청,4490590,5061020
수유(강북구청),13953107,13786627
수진,2098662,1933993
숙대입구(갈월),5979974,5815345
숭실대입구(살피재),5621142,5597051
숭의,1407264,1316811
시청,18818516,18484508
신갈,1785693,1724441
신금호,2400316,2430038
신길,4848187,4388338
신길온천,646073,582250
신내,301804,317473
신논현,12107852,12332421
신답,585215,642576
신당,8754202,9035535
신대방,10551197,10065454
신대방삼거리,6226386,5930781
신도림,22996793,22908122
신둔도예촌,500965,448107
신림,25680854,24969605
신목동,1461534,1302376
신반포,1155179,1168444
신방화,2595959,2520015
신설동,8160547,7948967
신용산,5999324,6254121
신원,85197,71599
신이문,3414524,3061851
신정(은행정),4938000,3708837
신정네거리,3651603,3752800
신중동,5411343,5362460
신창(순천향대),778109,736362
신촌,17620304,18100785
신포,717377,738384
신풍,4302875,4093297
신흥,1779825,1910017
쌍문,11940513,10675185
쌍용(나사렛대),938568,869739
아산,1252325,1088588
아신,265352,266096
아차산(어린이대공원후문),5580221,5355774
아현,3972473,3818305
안국,9132162,9597733
안산,5458626,4980590
안암(고대병원앞),5053694,5038321
안양,10073088,9965559
암사,6852966,6045742
압구정,12242984,13214586
압구정로데오,5992509,6809220
애오개,2643867,2630864
야당,1977277,1885849
야탑,10749427,11266577
약수,6643012,6462733
양수,806678,808695
양원,642683,665255
양재(서초구청),14704636,15821534
양정,330597,280176
양주,3380416,3058888
양천구청,2638828,2750520
양천향교,3167899,3201741
양평,3721580,3692709
어린이대공원(세종대),5709526,5760838
언주,3231958,3197752
여의나루,4379479,4607408
여의도,16505870,17079735
여주,896636,877568
역곡,11453357,11144529
역삼,17142745,19063769
역촌,1489422,1702929
연수,1934333,1926558
연신내,15333413,14505174
염창,6190662,5964899
영등포,18315080,19097947
영등포구청,9295693,9427860
영등포시장,3649038,3841853
영종,988661,1012250
영통,3596492,3668914
오금,3804515,3518961
오류동,4692464,4327999
오리,4729016,4010854
오목교(목동운동장앞),8837210,9567613
오빈,122497,120950
오산,3953121,3815303
오산대,1287030,1240381
오이도,3880477,3734771
옥수,3652986,3758519
온수(성공회대입구),6765128,6546211
온양온천,1858217,1877489
올림픽공원(한국체대),4555437,4499404
왕십리(성동구청),15245110,14833582
외대앞,3848345,3681689
용답,1012234,1023877
용두(동대문구청),879160,905698
용마산,2314326,2199817
용문,1046969,1048587
용산,15563085,15970676
우장산,5720290,5634829
운길산,339835,324154
운서,2626287,2727051
운정,2254684,2103552
원당,4403723,4180484
원덕,161607,155770
원인재,1695235,1732399
원흥,3260736,2994239
월계,2526251,2318315
월곡(동덕여대),4682270,4474248
월곶,949065,888536
월드컵경기장(성산),2603543,2802732
월롱,914682,869660
을지로3가,12401789,12541293
을지로4가,6457006,6598488
을지로입구,18503834,18355205
응봉,716981,624986
응암,6616385,6497898
의왕,3385595,3298014
의정부,7999651,8386392
이대,7242883,7669880
이매,2797857,2601127
이수,6202525,6091514
이천,1020019,1073708
이촌(국립중앙박물관),5094463,5033646
이태원,5956388,6751391
인덕원,9466576,9487545
인천,2152645,2143404
인천공항1터미널,6133665,5941811
인천공항2터미널,2118303,1822476
인천논현,2263724,2370586
인하대,2258552,2131054
일산,3459385,3379986
일원,3611630,3651850
잠실(송파구청),37511472,37208821
잠실나루,5884830,5734097
잠실새내,9047865,9153016
잠원,2377290,2278004
장승배기,4026727,3903296
장암,907987,354889
장지,6921566,6596225
장한평,6719219,6673830
정릉,1628735,1457132
정발산,3269615,3442952
정부과천청사,4392941,4297579
정왕,3238694,3396044
정자,6175270,6583056
제기동,7424120,7576968
제물포,4216492,3961692
종각,16024397,15344236
종로3가,22597505,22816946
종로5가,9832671,9872678
종합운동장,6518304,6896036
주안,8645654,7856762
주엽,3673849,3769879
죽전,5893609,6508328
중계,5844729,5358136
중곡,3791110,3494942
중동,3668434,3427689
중랑,2140087,2029581
중앙,6620702,6993051
중앙보훈병원,2686409,2469572
중화,4275505,4134448
증미,2462945,2485439
증산(명지대앞),3873996,3718691
지제,995129,934065
지축,476416,517454
지평,22656,18042
지행,2748905,2710756
직산,343297,354788
진위,628565,552754
창동,10635226,11293681
창신,1358916,1128278
천마산,613329,562902
천안,2814342,2613395
천왕,3540898,3238721
천호(풍납토성),14089342,15299123
철산,8755960,8940605
청구,2909377,2873025
청담,7108602,8043544
청라국제도시,2368307,2240974
청량리(서울시립대입구),15692570,16384919
청명,1637328,1525637
청평,825024,783483
초월,991222,930619
초지,1554158,1609083
총신대입구(이수),7858292,8638483
춘의,3301555,3210589
춘천,820660,707773
충무로,11430241,11659876
충정로(경기대입구),5607508,5864560
탄현,2875237,2752171
태릉입구,5510381,5663072
태평,5268201,5102363
퇴계원,1365623,1244431
파주,648217,475919
판교,1501868,1474913
팔당,369334,371473
평내호평,2211055,2167829
평촌,6412811,6318209
평택,5291209,5216066
풍산,2023243,1872211
하계,7215986,6791359
학동,7647939,8324793
학여울,1013239,1034303
한강진,3120436,3643893
한남,1652217,1588050
한대앞,3289063,3215236
한성대입구(삼선교),6009173,5751890
한성백제,806717,708702
한양대,4047639,4597634
한티,5469100,5720874
합정,18016986,18414205
행당,3143816,2763821
행신,2937650,2840445
혜화,15291249,15760380
호구포,1349854,1336570
홍대입구,34863576,37112695
홍제,7112289,6753967
화계,1222780,1140567
화곡,11009848,10145078
화랑대(서울여대입구),4761392,3642128
화서,3107339,3037799
화전,952783,891113
화정,7242717,7477201
회기,10821267,10488582
회룡,4893272,4729115
회현(남대문시장),11125865,11789883
효창공원앞,3701915,3575201
흑석(중앙대입구),3693368,3769721
총합계,2716706229,2705861190
