,년,표준버스정류장ID,정류장명,위도,경도,승차수,하차수
0,2021,100000001,종로2가사거리,37.5697651,126.9877498,143654,127491
1,2021,100000002,창경궁.서울대학교병원,37.579183,126.996566,696284,632538
2,2021,100000003,명륜3가.성대입구,37.5826711,126.9983401,985974,783616
3,2021,100000004,종로2가.삼일교,37.5685792,126.987613,191921,207350
4,2021,100000005,혜화동로터리.여운형활동터,37.586243,127.001744,468749,729051
5,2021,100000006,경기상고,37.5875502,126.9693634,137246,54876
6,2021,100000007,신교동,37.5832955,126.9702626,401460,157634
7,2021,100000008,경기상고,37.5871907,126.9697701,43122,129872
8,2021,100000009,경복고교,37.5851131,126.9710436,104300,84578
9,2021,100000010,청운중학교,37.5878519,126.9725135,15757,34013
10,2021,100000011,자하문고개.윤동주문학관,37.5921866,126.9671261,149784,28826
11,2021,100000012,자하문고개.윤동주문학관,37.5923353,126.9671906,20357,165190
12,2021,100000013,청운중학교,37.5881285,126.9724613,30746,53049
13,2021,100000014,경복고교,37.5849663,126.9711546,77580,108749
14,2021,100000015,통인시장종로구보건소,37.5803257,126.97105,332815,370179
15,2021,100000016,통인시장종로구보건소,37.5805132,126.9713851,168831,330358
16,2021,100000017,효자동,37.583091,126.9706209,128427,283939
17,2021,100000018,사직단.어린이도서관,37.5751355,126.9679907,298922,144839
18,2021,100000019,사직동주민센터,37.5761834,126.9713244,854915,460375
19,2021,100000020,경복궁역,37.5768666,126.972196,347748,1026906
20,2021,100000021,경복궁역,37.5776713,126.9722828,1113869,437907
21,2021,100000022,경복궁,37.5755767,126.9787471,288330,456088
22,2021,100000023,KT광화문지사,37.5722264,126.977332,1207586,291455
23,2021,100000025,광화문,37.5698453,126.9763838,284339,210795
24,2021,100000028,서울역사박물관.경교장.강북삼성병원,37.570023,126.971248,267474,264988
25,2021,100000029,광화문.금호아시아나본관앞,37.570288,126.9731335,42273,95783
26,2021,100000030,광화문,37.570365,126.975837,67766,12375
27,2021,100000031,세종문화회관,37.57359,126.9768571,461799,970152
28,2021,100000032,서울경찰청.경복궁역,37.5757446,126.9714842,472436,756944
29,2021,100000033,사직단,37.5748553,126.9681889,200462,538894
30,2021,100000034,광화문.광화문빌딩,37.5696876,126.9766885,90747,152352
31,2021,100000035,덕성여중고,37.5759017,126.982017,310215,260066
32,2021,100000036,안국역.서울공예박물관,37.5760695,126.9839957,350642,274225
33,2021,100000037,국민은행세검정지점,37.6046629,126.960888,128694,86447
34,2021,100000038,세검정초등학교,37.6025022,126.9612198,383280,183289
35,2021,100000039,세검정.상명대,37.6007325,126.9587223,102021,52567
36,2021,100000040,상명대입구.석파랑,37.5994133,126.9585702,54530,31630
37,2021,100000041,하림각,37.598133,126.9617068,214488,87144
38,2021,100000042,자하문터널입구.석파정,37.5955935,126.9636434,193863,78042
39,2021,100000043,부암동주민센터.무계원,37.592738,126.9639574,156702,83040
40,2021,100000044,부암동주민센터.무계원,37.5927861,126.9651419,65390,147109
41,2021,100000045,자하문터널입구.석파정,37.5955575,126.9639775,93142,206353
42,2021,100000046,하림각,37.5981476,126.9622153,112086,181226
43,2021,100000047,상명대입구.세검정교회,37.5996163,126.9592405,54704,114783
44,2021,100000048,세검정.상명대,37.6005524,126.9589342,88046,116823
45,2021,100000049,세검정초등학교,37.602268,126.9614328,288763,369808
46,2021,100000051,국민은행세검정지점,37.6047191,126.9612088,101037,175335
47,2021,100000053,승가사입구,37.6115844,126.9563059,23382,1324
48,2021,100000054,구기동현대빌라,37.6100355,126.9564575,76052,5870
49,2021,100000055,구기터널.삼성출판박물관,37.6086098,126.9562103,169871,56415
50,2021,100000056,구기터널.삼성출판박물관,37.6083054,126.9564166,84871,105232
51,2021,100000057,구기동,37.6069644,126.9585297,334765,123419
52,2021,100000058,구기동,37.6070088,126.9591017,157996,199111
53,2021,100000059,승가사입구,37.61148,126.956482,2285,36064
54,2021,100000060,갑을씨티텔앞,37.6043709,126.963535,96606,67010
55,2021,100000061,평창파출소,37.6053223,126.9660432,396202,100543
56,2021,100000062,평창동주민센터,37.6066073,126.9695663,349008,114078
57,2021,100000063,일성아파트,37.6087663,126.9729985,149099,60923
58,2021,100000064,롯데아파트,37.6104295,126.9764662,239503,95832
59,2021,100000065,롯데아파트,37.610248,126.976652,75419,172585
60,2021,100000066,벽산평창힐스아파트,37.60819,126.972797,39876,140821
61,2021,100000067,예능교회,37.606517,126.97,75706,150372
62,2021,100000068,서울예술고등학교.평창동주민센터,37.6057787,126.9676276,91201,300908
