,년,표준버스정류장ID,정류장명,위도,경도,승차수,하차수
0,2020,100000001,종로2가사거리,37.5697651,126.9877498,130313,139463
1,2020,100000002,창경궁.서울대학교병원,37.579183,126.996566,685995,628723
2,2020,100000003,명륜3가.성대입구,37.5826711,126.9983401,1008252,813048
3,2020,100000004,종로2가.삼일교,37.5685792,126.987613,197732,200994
4,2020,100000005,혜화동로터리.여운형활동터,37.586243,127.001744,463647,762632
5,2020,100000006,경기상고,37.5875502,126.9693634,115473,45529
6,2020,100000007,신교동,37.5832955,126.9702626,385183,147127
7,2020,100000008,경기상고,37.5871907,126.9697701,35833,115524
8,2020,100000009,경복고교,37.5851131,126.9710436,87479,77900
9,2020,100000010,청운중학교,37.5878519,126.9725135,11729,24789
10,2020,100000011,자하문고개.윤동주문학관,37.5921866,126.9671261,141458,22983
11,2020,100000012,자하문고개.윤동주문학관,37.5923353,126.9671906,18449,156973
12,2020,100000013,청운중학교,37.5881285,126.9724613,16867,44914
13,2020,100000014,경복고교,37.5849663,126.9711546,65216,92752
14,2020,100000015,통인시장종로구보건소,37.5803257,126.97105,291618,360883
15,2020,100000016,통인시장종로구보건소,37.5805132,126.9713851,157546,306713
16,2020,100000017,효자동,37.583091,126.9706209,118343,261649
17,2020,100000018,사직단.어린이도서관,37.5751355,126.9679907,247861,120549
18,2020,100000019,사직동주민센터,37.5761834,126.9713244,793398,426677
19,2020,100000020,경복궁역,37.5768666,126.972196,306296,975551
20,2020,100000021,경복궁역,37.5776713,126.9722828,1073251,403393
21,2020,100000022,경복궁,37.5755767,126.9787471,271677,458469
22,2020,100000023,KT광화문지사,37.5722264,126.977332,992135,293829
23,2020,100000025,광화문,37.5698453,126.9763838,325150,236480
24,2020,100000028,서울역사박물관.경교장.강북삼성병원,37.570023,126.971248,267568,259552
25,2020,100000029,광화문.금호아시아나본관앞,37.570288,126.9731335,37500,84191
26,2020,100000030,광화문,37.570365,126.975837,53683,8334
27,2020,100000031,세종문화회관,37.57359,126.9768571,756770,1160602
28,2020,100000032,서울경찰청.경복궁역,37.5757446,126.9714842,454601,726626
