"구분별(1)",구분별(2),구분별(3),2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),구분별(3),평균소요시간 (분),30분 미만,30분-1시간 미만,1시간-1시간 30분 미만,1시간 30분-2시간 미만,2시간 이상,평균소요시간 (분),30분 미만,30분-1시간 미만,1시간-1시간 30분 미만,1시간 30분-2시간 미만,2시간 이상,평균소요시간 (분),30분 미만,30분-1시간 미만,1시간-1시간 30분 미만,1시간 30분-2시간 미만,2시간 이상,평균소요시간 (분),30분 미만,30분-1시간 미만,1시간-1시간 30분 미만,1시간 30분-2시간 미만,2시간 이상,30분 미만,30분-1시간 미만,1시간-1시간 30분 미만,1시간 30분-2시간 미만,2시간 이상,30분 미만,30분-1시간 미만,1시간-1시간 30분 미만,1시간 30분-2시간 미만,2시간 이상,평균소요시간 (분)
"서울시",소득별,200 만원 미만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.3,39.8,15.1,1.4,1.5,33.4
"서울시",소득별,200-300만원 미만,-,38.2,50.1,10.2,1.4,0.1,33.5,44.2,43.0,11.0,1.7,0.2,31.3,46.5,39.0,13.4,0.9,0.2,31.2,41.3,45.2,12.4,1.0,0.1,41.7,42.0,14.0,1.6,0.7,39.6,41.4,14.9,3.2,0.9,35.6
"서울시",소득별,300-400만원 미만,-,41.1,48.2,8.7,1.9,0.1,32.4,40.3,44.9,12.3,1.9,0.6,33.3,38.1,43.1,16.3,2.1,0.5,34.9,36.3,45.8,15.2,2.1,0.7,36.7,43.1,17.4,2.2,0.7,35.2,43.6,17.1,3.3,0.8,36.7
"서울시",소득별,400-500만원 미만,-,39.5,50.1,9.7,0.7,0.1,32.8,39.2,44.6,13.9,1.9,0.4,34.2,38.3,42.2,16.8,2.2,0.5,35.3,36.7,44.0,17.4,1.7,0.2,35.3,43.7,17.7,2.6,0.6,34.8,43.2,18.5,2.6,1.0,37.0
"서울시",소득별,500만원 이상,-,36.2,50.2,11.7,1.7,0.2,34.6,37.5,45.3,14.9,1.8,0.5,34.9,35.4,45.2,16.3,2.6,0.6,36.1,34.9,46.3,16.9,1.7,0.3,32.4,46.1,18.1,2.6,0.8,30.0,46.6,19.5,3.2,0.8,38.8
"서울시",혼인상태별,기혼,-,37.5,50.3,10.9,1.2,0.0,33.6,40.9,45.4,11.7,1.5,0.4,32.7,38.5,44.6,15.0,1.5,0.4,34.1,37.5,46.0,15.0,1.3,0.2,34.0,43.9,18.3,2.9,0.9,33.5,45.8,17.2,2.7,0.9,37.1
"서울시",혼인상태별,미혼,-,38.7,49.3,9.8,1.9,0.3,33.7,36.9,43.9,16.4,2.3,0.6,35.7,36.4,41.9,17.8,3.3,0.7,36.9,34.0,44.8,18.4,2.2,0.5,33.7,46.4,17.4,2.0,0.5,30.3,44.9,20.4,3.5,0.9,39.2
"서울시",혼인상태별,이혼/별거,-,52.9,39.4,6.6,1.0,-,28.2,52.5,36.1,8.7,2.3,0.4,29.4,47.7,41.7,9.9,0.5,0.2,29.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울시",혼인상태별,사별,-,48.7,40.1,9.4,1.7,0.2,30.6,62.1,32.9,4.5,0.5,-,24.3,64.2,29.9,4.7,1.0,0.2,23.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울시",혼인상태별,이혼/사별/기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.1,36.9,8.1,0.9,-,51.3,38.1,9.1,0.9,0.5,51.3,34.9,11.3,1.9,0.5,29.9
