name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
두산,156687,10770,485,6.87,0.31,-6.11,206.10(21),61.22(21),"2,186.51(21)",-6296,-14.17,126383,0.71,2250,1.69(21),16.89(21)
롯데정밀화학,25235,4172,1382,16.53,5.48,6.65,23.87(21),178.06(21),"1,627.58(21)",5805,9.7,90389,0.62,2025,3.07(21),10.01(21)
효성,36755,1170,1030,3.18,2.8,3.18,75.72(21),64.30(21),"7,071.70(21)",3939,17.77,130566,0.54,6250,6.86(21),29.53(21)
롯데칠성,28321,2246,1344,7.93,4.75,9.25,148.91(21),70.49(21),"40,757.95(21)",13115,11.86,142089,1.09,3040,2.25(21),21.95(21)
녹십자,17075,1044,800,6.12,4.68,5.17,64.17(21),111.90(21),"2,144.64(21)",5692,23.45,113673,1.17,2000,0.92(21),18.53(21)
DL이앤씨,74891,5156,4724,6.88,6.31,10.31,87.44(21),117.70(21),"3,785.83(21)",10459,3.62,107702,0.35,1321,2.27(21),10.05(21)
현대위아,81471,2214,2492,2.72,3.06,7.98,109.72(21),156.71(21),"2,318.09(21)",9947,5.42,132909,0.41,773,0.88(21),29.84(21)
현대두산인프라코어,46937,3322,2312,7.08,4.92,15.44,249.12(21),78.09(21),"1,270.35(21)",1170,6.51,8217,0.93,-,-,-
한전KPS,14305,1121,919,7.83,6.42,8.07,28.32(21),256.68(21),"12,262.33(21)",2042,16.7,25917,1.32,1142,3.11(21),54.68(21)
현대백화점,48202,3594,2738,7.46,5.68,4.84,71.64(21),46.35(21),"3,829.64(21)",9327,6.87,210443,0.3,1180,1.46(21),12.69(21)
SK케미칼,"20,896(21)","5,552(21)","2,687(21)",26.57(21),12.86(21),11.19(21),54.11(21),58.95(21),"1,999.64(21)","8,521(21)",17.49(21),"105,002(21)",1.42(21),"3,000(21)",2.01(21),34.95(21)
LS ELECTRIC,32565,2171,1205,6.67,3.7,7.83,89.81(21),162.06(21),901.85(21),3986,13.17,53520,0.98,1196,1.79(21),34.61(21)
일진머티리얼(일진머티리얼즈),7943,984,711,12.39,8.95,6.11,29.96(21),299.36(21),"4,137.52(21)",1486,43.46,27199,2.38,300,0.22(21),22.04(21)
