name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
DL,51820,3736,1573,7.21,3.03,4.45,83.72(21),148.37(21),"5,309.50(21)",8029,7.76,187635,0.33,1200,3.12(21),4.97(21)
동국제강,84769,7785,6462,9.18,7.62,21.2,127.65(21),41.46(21),266.48(21),6601,2.02,35785,0.37,440,2.52(21),6.79(21)
LX인터내셔널,191748,10141,8452,5.29,4.41,28.15,182.98(21),95.98(21),837.29(21),15038,2.3,65799,0.53,2767,8.70(21),23.63(21)
한국앤컴퍼니,"9,633(21)","2,283(21)","2,000(21)",23.70(21),20.76(21),5.53(21),9.26(21),100.86(21),"7,779.51(21)","2,087(21)",7.52(21),"39,349(21)",0.40(21),600(21),3.82(21),28.89(21)
영풍,44890,2335,3300,5.2,7.35,6.91,41.48(21),105.07(21),"37,677.39(21)",134090,4.62,2145182,0.29,10000,1.53(21),13.85(21)
대웅,16548,2218,1902,13.4,11.49,11.13(21),67.13(21),116.12(21),"2,700.41(21)","1,355(21)",22.91(21),"17,576(21)",1.77(21),100,0.32(21),5.27(21)
에스엘,41026,2421,2012,5.9,4.91,12.25,69.08(21),120.29(21),"6,207.21(21)",4156,6.47,36650,0.73,560,1.60(21),23.88(21)
한샘,20065,-52,69,-0.26,0.34,1.16,100.48(21),88.13(21),"3,438.25(21)",294,180.39,36289,1.46,1193,1.67(21),34.86(21)
동원시스템즈,14778,993,709,6.72,4.8,10.29,124.24(21),81.42(21),249.01(21),2424,17.74,24631,1.75,600,1.17(21),44.06(21)
일진하이솔루스,1062,40,66,3.82,6.22,2.13,11.85(21),898.96(21),"1,591.72(21)",182,179.64,8614,3.79,75,-,-
신풍제약,"1,892(21)",-143(21),-115(21),-7.56(21),-6.09(21),-3.19(21),10.72(21),625.89(21),"1,278.43(21)",-210(21),-152.21(21),"6,896(21)",4.63(21),-,-,-
아시아나항공,62660,6220,"-5,168(21)",9.93,-11.91(21),-47.21(21),"2,410.60(21)",45.27(21),48.64(21),-5160,-2.89,"6,774(21)",2.95(21),-,-,-
후성,6049,1291,1070,21.34,17.69,29.26,117.43(21),74.21(21),419.52(21),915,13.92,3513,3.62,20,0.06(21),6.16(21)
GKL,2584,-133,-88,-5.14,-3.41,-2.34,38.52(21),111.00(21),"1,140.14(21)",-143,-138.16,6051,3.27,100,-,-
코오롱인더,53235,2558,2022,4.81,3.8,7.31,119.61(21),51.56(21),"1,548.35(21)",6096,7.53,86459,0.53,1200,1.83(21),20.89(21)
현대엘리베이,"19,734(21)","1,290(21)","1,123(21)",6.54(21),5.69(21),10.62(21),162.93(21),68.63(21),424.41(21),"2,772(21)",14.87(21),"27,485(21)",1.50(21),800(21),1.94(21),28.87(21)
SK네트웍스,98348,1654,727,1.68,0.74,3.01,293.93(21),64.30(21),252.63(21),269,15.3,10255,0.4,120,2.39(21),26.59(21)
오리온홀딩스,"24,151(21)","3,157(21)","2,253(21)",13.07(21),9.33(21),4.23(21),28.18(21),155.10(21),"6,285.97(21)","1,373(21)",11.62(21),"34,867(21)",0.46(21),650(21),4.08(21),38.50(21)
대한유화,22844,-1650,-1120,-7.22,-4.9,-5.68,22.16(21),216.63(21),"4,859.29(21)",-17146,-9.87,306736,0.55,2167,1.91(21),14.42(21)
아이에스동서,23190,3604,2212,15.54,9.54,15.77,140.91(21),43.38(21),"7,919.77(21)",6752,5.2,46548,0.75,1200,2.71(21),34.88(21)
롯데관광개발,2080,-934,-1951,-44.92,-93.82,-105.26,"2,371.97(21)",35.28(21),14.31(21),-2723,-4.95,4309,3.13,-,-,-
롯데제과,40938,1308,792,3.19,1.93,3.97,100.96(21),80.51(21),"39,657.59(21)",8197,14.65,231183,0.52,1600,1.33(21),29.40(21)
