name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
풍산,43706,2436,1760,5.57,4.03,9.98,86.77(21),60.94(21),"1,090.58(21)",6278,5.56,67513,0.52,911,3.21(21),11.51(21)
한국콜마,18731,936,576,5,3.08,5.08,91.68(21),65.06(21),"5,851.94(21)",1553,28.2,31244,1.4,427,1.03(21),26.52(21)
PI첨단소재,2880,520,504,18.07,17.5,15,45.13(21),142.01(21),"2,651.35(21)",1716,20.11,11780,2.93,1032,1.98(21),50.01(21)
종근당,14740,1137,840,7.71,5.7,14.21,84.99(21),120.82(21),"1,989.99(21)",6675,12.3,50468,1.63,1009,0.86(21),26.31(21)
하나투어,1309,-993,-876,-75.86,-66.91,-106,645.54(21),95.35(21),"1,579.78(21)",-5399,-11.67,4541,13.87,- ,-,-
태광산업,"25,918(21)","3,553(21)","3,184(21)",13.71(21),12.28(21),8.77(21),23.96(21),175.12(21),"68,542.10(21)","285,347(21)",3.66(21),"4,626,787(21)",0.23(21),"1,750(21)",0.17(21),0.46(21)
녹십자홀딩스,"18,406(21)",862(21),"1,277(21)",4.69(21),6.94(21),5.68(21),83.01(21),91.73(21),"3,782.80(21)","1,116(21)",24.34(21),"22,586(21)",1.20(21),400(21),1.47(21),32.86(21)
한올바이오파마,1119,53,54,4.77,4.8,3.32,21.40(21),131.72(21),532.76(21),106,158.61,3342,5.03,- ,-,-
명신산업,14858,1155,1086,7.77,7.31,30.85,142.18(21),89.20(21),"1,101.54(21)",2069,8.42,7748,2.25,- ,-,- 
KG스틸,"33,548(21)","2,969(21)","1,907(21)",8.85(21),5.68(21),17.99(21),140.93(21),56.08(21),106.80(21),"1,908(21)",5.55(21),"11,498(21)",0.92(21),100(21),0.94(21),5.24(21)
한일시멘트,14515,1236,927,8.52,6.39,6.16,62.53(21),67.57(21),"3,858.27(21)",1242,9.62,20514,0.58,540,2.57(21),45.79(21)
TKG휴켐스,12326,1246,972,10.11,7.89,13.36,31.92(21),257.25(21),"1,758.94(21)",2373,8.23,19622,1,1067,4.32(21),50.71(21)
금호타이어,36320,650,-870,1.79,-2.4,-7.34,238.82(21),64.31(21),-23.55(21),-306,-10.92,4268,0.78,-,-,- 
더블유게임즈,6229,1805,226,28.98,3.63,3.35,16.63(21),231.33(21),"9,161.99(21)",1601,30.61,55063,0.89,706,1.21(21),9.47(21)
코스맥스,16003,619,210,3.87,1.31,6.38,203.39(21),61.82(21),"9,525.86(21)",3280,23.78,53448,1.46,477,0.63(21),8.38(21)
신세계인터내셔날,15649,1249,1039,7.98,6.64,13.53,61.07(21),102.61(21),"1,907.20(21)",2883,8.6,22544,1.1,551,1.03(21),13.05(21)
대상,41095,1444,748,3.51,1.82,6.01,130.15(21),105.13(21),"3,449.20(21)",2094,10.17,35673,0.6,800,3.43(21),20.00(21)
보령,7400,560,530,7.57,7.16,10.95,74.70(21),209.24(21),"1,349.33(21)",772,12.57,7500,1.29,107,0.68(21),15.31(21)
세방전지,14790,850,610,5.75,4.12,4.99,38.98(21),121.58(21),"17,049.72(21)",4286,10.97,92364,0.51,600,0.79(21),9.54(21)
현대그린푸드,38343,860,1070,2.24,2.79,5.21,40.69(21),99.54(21),"3,424.91(21)",993,7.37,21778,0.34,210,2.45(21),42.19(21)
지누스,11790,656,520,5.56,4.42,10.11,113.00(21),83.86(21),"5,921.10(21)",2847,13.47,30081,1.27,813,1.10(21),15.88(21)
케이카,22770,559,345,2.46,1.52,12.72,99.67(21),34.14(21),"1,036.40(21)",718,19.53,5559,2.52,760,2.20(21),77.10(21)
현대홈쇼핑,22384,1327,1400,5.93,6.25,7.24,38.14(21),53.40(21),"3,152.13(21)",11667,4.83,173397,0.32,2600,3.79(21),27.02(21)
한세실업,22196,1878,1000,8.46,4.5,19.91,161.88(21),52.73(21),"2,395.90(21)",2510,6.72,13865,1.22,585,2.28(21),29.14(21)
화승엔터프라이즈,17147,694,381,4.05,2.22,6.45,141.68(21),57.08(21),"1,138.81(21)",580,19.01,9144,1.21,55,0.27(21),-41.84(21)
쿠쿠홈시스,"8,932(21)","1,786(21)","1,692(21)",20.00(21),18.94(21),26.53(21),38.55(21),173.48(21),"28,714.40(21)","6,780(21)",5.78(21),"28,790(21)",1.36(21),650(21),1.66(21),9.58(21)
HDC현대산업개발,"33,639(21)","2,734(21)","1,763(21)",8.13(21),5.24(21),6.28(21),127.58(21),143.88(21),776.48(21),"2,679(21)",8.55(21),"43,665(21)",0.52(21),600(21),2.62(21),22.40(21)
한섬,15672,1712,1257,10.92,8.02,9.97,25.53(21),81.15(21),"10,157.70(21)",5242,5.33,61557,0.45,625,1.69(21),11.51(21)
디엘(DL),51820,3736,1573,7.21,3.03,4.45,83.72(21),148.37(21),"5,309.50(21)",8029,7.76,187635,0.33,1200,3.12(21),4.97(21)
D L(DL),51820,3736,1573,7.21,3.03,4.45,83.72(21),148.37(21),"5,309.50(21)",8029,7.76,187635,0.33,1200,3.12(21),4.97(21)
동제(동국제강),84769,7785,6462,9.18,7.62,21.2,127.65(21),41.46(21),266.48(21),6601,2.02,35785,0.37,440,2.52(21),6.79(21)
동 국 제 강(동국제강),84769,7785,6462,9.18,7.62,21.2,127.65(21),41.46(21),266.48(21),6601,2.02,35785,0.37,440,2.52(21),6.79(21)
엘엑스인터내셔널(LX인터내셔널),191748,10141,8452,5.29,4.41,28.15,182.98(21),95.98(21),837.29(21),15038,2.3,65799,0.53,2767,8.70(21),23.63(21)
엘 엑 스 인 터 내 셔 널(LX인터내셔널),191748,10141,8452,5.29,4.41,28.15,182.98(21),95.98(21),837.29(21),15038,2.3,65799,0.53,2767,8.70(21),23.63(21)
한 국 앤 컴 퍼 니(한국앤컴퍼니),"9,633(21)","2,283(21)","2,000(21)",23.70(21),20.76(21),5.53(21),9.26(21),100.86(21),"7,779.51(21)","2,087(21)",7.52(21),"39,349(21)",0.40(21),600(21),3.82(21),28.89(21)
한국 앤 컴퍼니(한국앤컴퍼니),"9,633(21)","2,283(21)","2,000(21)",23.70(21),20.76(21),5.53(21),9.26(21),100.86(21),"7,779.51(21)","2,087(21)",7.52(21),"39,349(21)",0.40(21),600(21),3.82(21),28.89(21)
영 풍(영풍),44890,2335,3300,5.2,7.35,6.91,41.48(21),105.07(21),"37,677.39(21)",134090,4.62,2145182,0.29,10000,1.53(21),13.85(21)
youngpoong(영풍),44890,2335,3300,5.2,7.35,6.91,41.48(21),105.07(21),"37,677.39(21)",134090,4.62,2145182,0.29,10000,1.53(21),13.85(21)
대 웅(대웅),16548,2218,1902,13.4,11.49,11.13(21),67.13(21),116.12(21),"2,700.41(21)","1,355(21)",22.91(21),"17,576(21)",1.77(21),100,0.32(21),5.27(21)
daewoong(대웅),16548,2218,1902,13.4,11.49,11.13(21),67.13(21),116.12(21),"2,700.41(21)","1,355(21)",22.91(21),"17,576(21)",1.77(21),100,0.32(21),5.27(21)
에 스 엘(에스엘),41026,2421,2012,5.9,4.91,12.25,69.08(21),120.29(21),"6,207.21(21)",4156,6.47,36650,0.73,560,1.60(21),23.88(21)
SL(에스엘),41026,2421,2012,5.9,4.91,12.25,69.08(21),120.29(21),"6,207.21(21)",4156,6.47,36650,0.73,560,1.60(21),23.88(21)
한 샘(한샘),20065,-52,69,-0.26,0.34,1.16,100.48(21),88.13(21),"3,438.25(21)",294,180.39,36289,1.46,1193,1.67(21),34.86(21)
hanssem(한샘),20065,-52,69,-0.26,0.34,1.16,100.48(21),88.13(21),"3,438.25(21)",294,180.39,36289,1.46,1193,1.67(21),34.86(21)
동 원 시 스 템 즈(동원시스템즈),14778,993,709,6.72,4.8,10.29,124.24(21),81.42(21),249.01(21),2424,17.74,24631,1.75,600,1.17(21),44.06(21)
동원 시스템즈(동원시스템즈),14778,993,709,6.72,4.8,10.29,124.24(21),81.42(21),249.01(21),2424,17.74,24631,1.75,600,1.17(21),44.06(21)
일 진 하이 솔 루 스(일진하이솔루스),1062,40,66,3.82,6.22,2.13,11.85(21),898.96(21),"1,591.72(21)",182,179.64,8614,3.79,75,-,-
일 진 하 이 솔 루 스(일진하이솔루스),1062,40,66,3.82,6.22,2.13,11.85(21),898.96(21),"1,591.72(21)",182,179.64,8614,3.79,75,-,-
신풍(신풍제약),"1,892(21)",-143(21),-115(21),-7.56(21),-6.09(21),-3.19(21),10.72(21),625.89(21),"1,278.43(21)",-210(21),-152.21(21),"6,896(21)",4.63(21),-,-,-
신 풍 제 약(신풍제약),"1,892(21)",-143(21),-115(21),-7.56(21),-6.09(21),-3.19(21),10.72(21),625.89(21),"1,278.43(21)",-210(21),-152.21(21),"6,896(21)",4.63(21),-,-,-
아시아나(아시아나항공),62660,6220,"-5,168(21)",9.93,-11.91(21),-47.21(21),"2,410.60(21)",45.27(21),48.64(21),-5160,-2.89,"6,774(21)",2.95(21),-,-,-
아 시 아 나 (아시아나항공),62660,6220,"-5,168(21)",9.93,-11.91(21),-47.21(21),"2,410.60(21)",45.27(21),48.64(21),-5160,-2.89,"6,774(21)",2.95(21),-,-,-
후 성(후성),6049,1291,1070,21.34,17.69,29.26,117.43(21),74.21(21),419.52(21),915,13.92,3513,3.62,20,0.06(21),6.16(21)
foosung(후성),6049,1291,1070,21.34,17.69,29.26,117.43(21),74.21(21),419.52(21),915,13.92,3513,3.62,20,0.06(21),6.16(21)
지케이엘(GKL),2584,-133,-88,-5.14,-3.41,-2.34,38.52(21),111.00(21),"1,140.14(21)",-143,-138.16,6051,3.27,100,-,-
G K L(GKL),2584,-133,-88,-5.14,-3.41,-2.34,38.52(21),111.00(21),"1,140.14(21)",-143,-138.16,6051,3.27,100,-,-
코오롱인더스트리(코오롱인더),53235,2558,2022,4.81,3.8,7.31,119.61(21),51.56(21),"1,548.35(21)",6096,7.53,86459,0.53,1200,1.83(21),20.89(21)
코 오 롱 인 더(코오롱인더),53235,2558,2022,4.81,3.8,7.31,119.61(21),51.56(21),"1,548.35(21)",6096,7.53,86459,0.53,1200,1.83(21),20.89(21)
현 대 엘 리 베 이(현대엘리베이),"19,734(21)","1,290(21)","1,123(21)",6.54(21),5.69(21),10.62(21),162.93(21),68.63(21),424.41(21),"2,772(21)",14.87(21),"27,485(21)",1.50(21),800(21),1.94(21),28.87(21)
현대엘리베이터(현대엘리베이),"19,734(21)","1,290(21)","1,123(21)",6.54(21),5.69(21),10.62(21),162.93(21),68.63(21),424.41(21),"2,772(21)",14.87(21),"27,485(21)",1.50(21),800(21),1.94(21),28.87(21)
에스케이네트웍스(SK네트웍스),98348,1654,727,1.68,0.74,3.01,293.93(21),64.30(21),252.63(21),269,15.3,10255,0.4,120,2.39(21),26.59(21)
S K 네 트 웍 스(SK네트웍스),98348,1654,727,1.68,0.74,3.01,293.93(21),64.30(21),252.63(21),269,15.3,10255,0.4,120,2.39(21),26.59(21)
오 리 온 홀 딩 스(오리온홀딩스),"24,151(21)","3,157(21)","2,253(21)",13.07(21),9.33(21),4.23(21),28.18(21),155.10(21),"6,285.97(21)","1,373(21)",11.62(21),"34,867(21)",0.46(21),650(21),4.08(21),38.50(21)
오리온 홀딩스(오리온홀딩스),"24,151(21)","3,157(21)","2,253(21)",13.07(21),9.33(21),4.23(21),28.18(21),155.10(21),"6,285.97(21)","1,373(21)",11.62(21),"34,867(21)",0.46(21),650(21),4.08(21),38.50(21)
대 한 유 화(대한유화),22844,-1650,-1120,-7.22,-4.9,-5.68,22.16(21),216.63(21),"4,859.29(21)",-17146,-9.87,306736,0.55,2167,1.91(21),14.42(21)
유화(대한유화),22844,-1650,-1120,-7.22,-4.9,-5.68,22.16(21),216.63(21),"4,859.29(21)",-17146,-9.87,306736,0.55,2167,1.91(21),14.42(21)
아 이 에 스 동 서(아이에스동서),23190,3604,2212,15.54,9.54,15.77,140.91(21),43.38(21),"7,919.77(21)",6752,5.2,46548,0.75,1200,2.71(21),34.88(21)
IS동서(아이에스동서),23190,3604,2212,15.54,9.54,15.77,140.91(21),43.38(21),"7,919.77(21)",6752,5.2,46548,0.75,1200,2.71(21),34.88(21)
롯 데 관 광 개 발(롯데관광개발),2080,-934,-1951,-44.92,-93.82,-105.26,"2,371.97(21)",35.28(21),14.31(21),-2723,-4.95,4309,3.13,-,-,-
롯데 관광(롯데관광개발),2080,-934,-1951,-44.92,-93.82,-105.26,"2,371.97(21)",35.28(21),14.31(21),-2723,-4.95,4309,3.13,-,-,-
롯 데 제 과(롯데제과),40938,1308,792,3.19,1.93,3.97,100.96(21),80.51(21),"39,657.59(21)",8197,14.65,231183,0.52,1600,1.33(21),29.40(21)
롯데 제과(롯데제과),40938,1308,792,3.19,1.93,3.97,100.96(21),80.51(21),"39,657.59(21)",8197,14.65,231183,0.52,1600,1.33(21),29.40(21)
풍 산(풍산),43706,2436,1760,5.57,4.03,9.98,86.77(21),60.94(21),"1,090.58(21)",6278,5.56,67513,0.52,911,3.21(21),11.51(21)
poongsan(풍산),43706,2436,1760,5.57,4.03,9.98,86.77(21),60.94(21),"1,090.58(21)",6278,5.56,67513,0.52,911,3.21(21),11.51(21)
한 국 콜 마(한국콜마),18731,936,576,5,3.08,5.08,91.68(21),65.06(21),"5,851.94(21)",1553,28.2,31244,1.4,427,1.03(21),26.52(21)
콜마(한국콜마),18731,936,576,5,3.08,5.08,91.68(21),65.06(21),"5,851.94(21)",1553,28.2,31244,1.4,427,1.03(21),26.52(21)
피아이첨단소재(PI첨단소재),2880,520,504,18.07,17.5,15,45.13(21),142.01(21),"2,651.35(21)",1716,20.11,11780,2.93,1032,1.98(21),50.01(21)
P I 첨 단 소 재(PI첨단소재),2880,520,504,18.07,17.5,15,45.13(21),142.01(21),"2,651.35(21)",1716,20.11,11780,2.93,1032,1.98(21),50.01(21)
종 근 당(종근당),14740,1137,840,7.71,5.7,14.21,84.99(21),120.82(21),"1,989.99(21)",6675,12.3,50468,1.63,1009,0.86(21),26.31(21)
종근(종근당),14740,1137,840,7.71,5.7,14.21,84.99(21),120.82(21),"1,989.99(21)",6675,12.3,50468,1.63,1009,0.86(21),26.31(21)
하 나 투 어(하나투어),1309,-993,-876,-75.86,-66.91,-106,645.54(21),95.35(21),"1,579.78(21)",-5399,-11.67,4541,13.87,- ,-,-
하나 투어(하나투어),1309,-993,-876,-75.86,-66.91,-106,645.54(21),95.35(21),"1,579.78(21)",-5399,-11.67,4541,13.87,- ,-,-
태 광 산 업(태광산업),"25,918(21)","3,553(21)","3,184(21)",13.71(21),12.28(21),8.77(21),23.96(21),175.12(21),"68,542.10(21)","285,347(21)",3.66(21),"4,626,787(21)",0.23(21),"1,750(21)",0.17(21),0.46(21)
태광(태광산업),"25,918(21)","3,553(21)","3,184(21)",13.71(21),12.28(21),8.77(21),23.96(21),175.12(21),"68,542.10(21)","285,347(21)",3.66(21),"4,626,787(21)",0.23(21),"1,750(21)",0.17(21),0.46(21)
녹십자 홀딩스(녹십자홀딩스),"18,406(21)",862(21),"1,277(21)",4.69(21),6.94(21),5.68(21),83.01(21),91.73(21),"3,782.80(21)","1,116(21)",24.34(21),"22,586(21)",1.20(21),400(21),1.47(21),32.86(21)
녹 십 자 홀 딩 스(녹십자홀딩스),"18,406(21)",862(21),"1,277(21)",4.69(21),6.94(21),5.68(21),83.01(21),91.73(21),"3,782.80(21)","1,116(21)",24.34(21),"22,586(21)",1.20(21),400(21),1.47(21),32.86(21)
한 올 바 이 오 파 마(한올바이오파마),1119,53,54,4.77,4.8,3.32,21.40(21),131.72(21),532.76(21),106,158.61,3342,5.03,- ,-,-
한올 바이오파마(한올바이오파마),1119,53,54,4.77,4.8,3.32,21.40(21),131.72(21),532.76(21),106,158.61,3342,5.03,- ,-,-
명 신 산 업(명신산업),14858,1155,1086,7.77,7.31,30.85,142.18(21),89.20(21),"1,101.54(21)",2069,8.42,7748,2.25,- ,-,- 
명신(명신산업),14858,1155,1086,7.77,7.31,30.85,142.18(21),89.20(21),"1,101.54(21)",2069,8.42,7748,2.25,- ,-,- 
케이지스틸(KG스틸),"33,548(21)","2,969(21)","1,907(21)",8.85(21),5.68(21),17.99(21),140.93(21),56.08(21),106.80(21),"1,908(21)",5.55(21),"11,498(21)",0.92(21),100(21),0.94(21),5.24(21)
K G  스 틸(KG스틸),"33,548(21)","2,969(21)","1,907(21)",8.85(21),5.68(21),17.99(21),140.93(21),56.08(21),106.80(21),"1,908(21)",5.55(21),"11,498(21)",0.92(21),100(21),0.94(21),5.24(21)
한 일 시 멘 트(한일시멘트),14515,1236,927,8.52,6.39,6.16,62.53(21),67.57(21),"3,858.27(21)",1242,9.62,20514,0.58,540,2.57(21),45.79(21)
한일 시멘트(한일시멘트),14515,1236,927,8.52,6.39,6.16,62.53(21),67.57(21),"3,858.27(21)",1242,9.62,20514,0.58,540,2.57(21),45.79(21)
티케이지휴켐스(TKG휴켐스),12326,1246,972,10.11,7.89,13.36,31.92(21),257.25(21),"1,758.94(21)",2373,8.23,19622,1,1067,4.32(21),50.71(21)
T K G  휴 켐 스(TKG휴켐스),12326,1246,972,10.11,7.89,13.36,31.92(21),257.25(21),"1,758.94(21)",2373,8.23,19622,1,1067,4.32(21),50.71(21)
금호 타이어(금호타이어),36320,650,-870,1.79,-2.4,-7.34,238.82(21),64.31(21),-23.55(21),-306,-10.92,4268,0.78,-,-,- 
금 호 타 이 어(금호타이어),36320,650,-870,1.79,-2.4,-7.34,238.82(21),64.31(21),-23.55(21),-306,-10.92,4268,0.78,-,-,- 
더블유 게임즈(더블유게임즈),6229,1805,226,28.98,3.63,3.35,16.63(21),231.33(21),"9,161.99(21)",1601,30.61,55063,0.89,706,1.21(21),9.47(21)
더 블 유 게 임 즈(더블유게임즈),6229,1805,226,28.98,3.63,3.35,16.63(21),231.33(21),"9,161.99(21)",1601,30.61,55063,0.89,706,1.21(21),9.47(21)
코 스 맥 스(코스맥스),16003,619,210,3.87,1.31,6.38,203.39(21),61.82(21),"9,525.86(21)",3280,23.78,53448,1.46,477,0.63(21),8.38(21)
COSMAX(코스맥스),16003,619,210,3.87,1.31,6.38,203.39(21),61.82(21),"9,525.86(21)",3280,23.78,53448,1.46,477,0.63(21),8.38(21)
신 세 계 인 터 내 셔 날(신세계인터내셔날),15649,1249,1039,7.98,6.64,13.53,61.07(21),102.61(21),"1,907.20(21)",2883,8.6,22544,1.1,551,1.03(21),13.05(21)
신세계 인터내셔날(신세계인터내셔날),15649,1249,1039,7.98,6.64,13.53,61.07(21),102.61(21),"1,907.20(21)",2883,8.6,22544,1.1,551,1.03(21),13.05(21)
대 상(대상),41095,1444,748,3.51,1.82,6.01,130.15(21),105.13(21),"3,449.20(21)",2094,10.17,35673,0.6,800,3.43(21),20.00(21)
DAESANG(대상),41095,1444,748,3.51,1.82,6.01,130.15(21),105.13(21),"3,449.20(21)",2094,10.17,35673,0.6,800,3.43(21),20.00(21)
보 령(보령),7400,560,530,7.57,7.16,10.95,74.70(21),209.24(21),"1,349.33(21)",772,12.57,7500,1.29,107,0.68(21),15.31(21)
BORYUNG(보령),7400,560,530,7.57,7.16,10.95,74.70(21),209.24(21),"1,349.33(21)",772,12.57,7500,1.29,107,0.68(21),15.31(21)
세 방 전 지(세방전지),14790,850,610,5.75,4.12,4.99,38.98(21),121.58(21),"17,049.72(21)",4286,10.97,92364,0.51,600,0.79(21),9.54(21)
세방 전지(세방전지),14790,850,610,5.75,4.12,4.99,38.98(21),121.58(21),"17,049.72(21)",4286,10.97,92364,0.51,600,0.79(21),9.54(21)
현 대 그 린 푸 드(현대그린푸드),38343,860,1070,2.24,2.79,5.21,40.69(21),99.54(21),"3,424.91(21)",993,7.37,21778,0.34,210,2.45(21),42.19(21)
현대 그린푸드(현대그린푸드),38343,860,1070,2.24,2.79,5.21,40.69(21),99.54(21),"3,424.91(21)",993,7.37,21778,0.34,210,2.45(21),42.19(21)
지 누 스(지누스),11790,656,520,5.56,4.42,10.11,113.00(21),83.86(21),"5,921.10(21)",2847,13.47,30081,1.27,813,1.10(21),15.88(21)
ZINUS(지누스),11790,656,520,5.56,4.42,10.11,113.00(21),83.86(21),"5,921.10(21)",2847,13.47,30081,1.27,813,1.10(21),15.88(21)
케 이 카(케이카),22770,559,345,2.46,1.52,12.72,99.67(21),34.14(21),"1,036.40(21)",718,19.53,5559,2.52,760,2.20(21),77.10(21)
K Car(케이카),22770,559,345,2.46,1.52,12.72,99.67(21),34.14(21),"1,036.40(21)",718,19.53,5559,2.52,760,2.20(21),77.10(21)
현 대 홈 쇼 핑(현대홈쇼핑),22384,1327,1400,5.93,6.25,7.24,38.14(21),53.40(21),"3,152.13(21)",11667,4.83,173397,0.32,2600,3.79(21),27.02(21)
현대 홈쇼핑(현대홈쇼핑),22384,1327,1400,5.93,6.25,7.24,38.14(21),53.40(21),"3,152.13(21)",11667,4.83,173397,0.32,2600,3.79(21),27.02(21)
한 세 실 업(한세실업),22196,1878,1000,8.46,4.5,19.91,161.88(21),52.73(21),"2,395.90(21)",2510,6.72,13865,1.22,585,2.28(21),29.14(21)
한세 실업(한세실업),22196,1878,1000,8.46,4.5,19.91,161.88(21),52.73(21),"2,395.90(21)",2510,6.72,13865,1.22,585,2.28(21),29.14(21)
화 승 엔 터 프 라 이 즈(화승엔터프라이즈),17147,694,381,4.05,2.22,6.45,141.68(21),57.08(21),"1,138.81(21)",580,19.01,9144,1.21,55,0.27(21),-41.84(21)
화승 엔터프라이즈(화승엔터프라이즈),17147,694,381,4.05,2.22,6.45,141.68(21),57.08(21),"1,138.81(21)",580,19.01,9144,1.21,55,0.27(21),-41.84(21)
쿠 쿠 홈 시 스(쿠쿠홈시스),"8,932(21)","1,786(21)","1,692(21)",20.00(21),18.94(21),26.53(21),38.55(21),173.48(21),"28,714.40(21)","6,780(21)",5.78(21),"28,790(21)",1.36(21),650(21),1.66(21),9.58(21)
쿠쿠 홈시스(쿠쿠홈시스),"8,932(21)","1,786(21)","1,692(21)",20.00(21),18.94(21),26.53(21),38.55(21),173.48(21),"28,714.40(21)","6,780(21)",5.78(21),"28,790(21)",1.36(21),650(21),1.66(21),9.58(21)
에이치디씨현대산업개발(HDC현대산업개발),"33,639(21)","2,734(21)","1,763(21)",8.13(21),5.24(21),6.28(21),127.58(21),143.88(21),776.48(21),"2,679(21)",8.55(21),"43,665(21)",0.52(21),600(21),2.62(21),22.40(21)
HDC 현대산업(HDC현대산업개발),"33,639(21)","2,734(21)","1,763(21)",8.13(21),5.24(21),6.28(21),127.58(21),143.88(21),776.48(21),"2,679(21)",8.55(21),"43,665(21)",0.52(21),600(21),2.62(21),22.40(21)
한 섬(한섬),15672,1712,1257,10.92,8.02,9.97,25.53(21),81.15(21),"10,157.70(21)",5242,5.33,61557,0.45,625,1.69(21),11.51(21)
HANDSOME(한섬),15672,1712,1257,10.92,8.02,9.97,25.53(21),81.15(21),"10,157.70(21)",5242,5.33,61557,0.45,625,1.69(21),11.51(21)
