,철도운영기관명,선명,역명,지번주소,도로명주소,경도,위도
0,서울교통공사,2호선,시청,서울특별시 중구 서소문동 90-1,서울특별시 중구 서소문로 지하 127 ,127.0084173,37.5652675
1,서울교통공사,2호선,을지로입구,서울특별시 중구 을지로3가 347-3,서울특별시 중구 을지로 지하 42 ,126.982679,37.566065
2,서울교통공사,2호선,을지로3가,서울 중구 을지로3가 70-1,서울특별시 중구 을지로 지하 106 ,127.0084173,37.5652675
3,서울교통공사,2호선,을지로4가,서울특별시 중구 을지로4가 267-1,서울특별시 중구 을지로 지하 178 ,126.997733,37.566621
4,서울교통공사,2호선,동대문역사문화공원,서울특별시 중구 을지로7가 112-3,서울특별시 중구 을지로 지하 279 ,127.0084849,37.5657177
5,서울교통공사,2호선,신당,서울특별시 중구 신당동 99,서울특별시 중구 퇴계로 지하 431-1 ,126.9945971,37.5609724
6,서울교통공사,2호선,상왕십리,서울특별시 성동구 하왕십리동 946-14,서울특별시 성동구 왕십리로 지하 374 ,127.0320781,37.5602801
7,서울교통공사,2호선,왕십리,서울특별시 성동구 행당동 192,서울특별시 성동구 왕십리로 지하 300 ,127.0363048,37.5611822
8,서울교통공사,2호선,한양대,서울특별시 성동구 행당동 산17,서울특별시 성동구 왕십리로 206 ,127.0436579,37.5552593
9,서울교통공사,2호선,뚝섬,서울특별시 성동구 성수동1가 656-745,서울특별시 성동구 아차산로 18 ,127.0473802,37.5471773
10,서울교통공사,2호선,성수,서울특별시 성동구 성수동2가 300-1,서울특별시 성동구 아차산로 100 ,127.0568847,37.5446009
11,서울교통공사,2호선,건대입구,서울특별시 광진구 화양동 7-3,서울특별시 광진구 아차산로 243 ,127.0690014,37.5407487
12,서울교통공사,2호선,구의(광진구청),서울특별시 광진구 구의동 245-24,서울특별시 광진구 아차산로 384-1 ,127.0907553,37.5382826
13,서울교통공사,2호선,강변(동서울터미널),서울특별시 광진구 구의동 546-6,서울특별시 광진구 강변역로 53 ,127.094533,37.5354211
14,서울교통공사,2호선,잠실나루,서울특별시 송파구 신천동 15,서울특별시 송파구 오금로 20 ,127.1129447,37.5091141
15,서울교통공사,2호선,잠실(송파구청),서울특별시 송파구 잠실동 8,서울특별시 송파구 올림픽로 지하 265 ,127.0994508,37.5130478
16,서울교통공사,2호선,잠실새내,서울특별시 송파구 잠실동 33,서울특별시 송파구 올림픽로 지하 140 ,127.1281419,37.495533
17,서울교통공사,2호선,종합운동장,서울특별시 송파구 잠실동 122,서울특별시 송파구 올림픽로 지하 23 ,127.1008847,37.499159
18,서울교통공사,2호선,삼성(무역센터),서울특별시 강남구 삼성동 172-66,서울특별시 강남구 테헤란로 지하 538 ,127.037219,37.5073011
19,서울교통공사,2호선,선릉,서울특별시 강남구 삼성동 172-66,서울특별시 강남구 테헤란로 지하 340 ,127.0490037,37.5045054
20,서울교통공사,2호선,역삼,서울특별시 강남구 역삼동 804,서울특별시 강남구 테헤란로 지하 156 ,127.0542018,37.5056037
21,서울교통공사,2호선,강남,서울특별시 강남구 역삼동 858,서울특별시 강남구 강남대로 지하 396 ,127.028424,37.496275
22,서울교통공사,2호선,교대(법원·검찰청),서울특별시 서초구 서초동 1748-4,서울특별시 서초구 서초대로 지하 294 ,127.0141273,37.4937717
23,서울교통공사,2호선,서초,서울특별시 서초구 서초동 1748-5,서울특별시 서초구 서초대로 지하 233 ,127.0097657,37.4904471
24,서울교통공사,2호선,방배,서울특별시 서초구 방배동 912-14,서울특별시 서초구 방배로 지하 80 ,126.9962888,37.4840197
25,서울교통공사,2호선,사당,서울특별시 동작구 사당동 1129,서울특별시 동작구 남부순환로 지하 2089,126.9814323,37.47648239999999
26,서울교통공사,2호선,낙성대,서울특별시 관악구 봉천동 1693-39,서울특별시 관악구 남부순환로 지하 1928,126.9575505,37.4794079
27,서울교통공사,2호선,서울대입구(관악구청),서울특별시 관악구 봉천동 979-2,서울특별시 관악구 남부순환로 지하 1822 ,126.9433403,37.4795497
28,서울교통공사,2호선,봉천,서울특별시 관악구 봉천동 979-7,서울특별시 관악구 남부순환로 지하 1721 ,126.941481,37.4825178
29,서울교통공사,2호선,신림,서울특별시 관악구 신림동 1467-10,서울특별시 관악구 남부순환로 지하 1614 ,126.9296988,37.4842107
30,서울교통공사,2호선,신대방,서울특별시 동작구 신대방동 643-1,서울특별시 동작구 대림로 2,126.9129914,37.4875104
