,철도운영기관명,선명,역명,지번주소,도로명주소,경도,위도
0,코레일,4호선,선바위,경기도 과천시 과천동 355,경기도 과천시 중앙로 지하440,126.9908997,37.4282297
1,코레일,4호선,경마공원,경기도 과천시 과천동 654,경기도 과천시 경마공원대로 지하 105,127.007914,37.443996
2,코레일,4호선,대공원,경기도 과천시 과천동 727-1,경기도 과천시 대공원대로 지하50 ,127.005546,37.435706
3,코레일,4호선,과천,경기도 과천시 별양동 2,경기도 과천시 별양로 지하177,126.9918772,37.4262432
4,코레일,4호선,정부과천청사,경기도 과천시 별양동 1,경기도 과천시 중앙로 지하 100,126.9908997,37.4282297
5,코레일,4호선,인덕원,경기도 안양시 동안구 관양동 1563,경기도 안양시 동안구 흥안대로 지하 529,126.9767283,37.4014907
6,코레일,4호선,평촌,경기도 안양시 동안구 관양동 1608-1,경기도 안양시 동안구 부림로 지하 123,126.9638624,37.3942751
7,코레일,4호선,범계,경기도 안양시 동안구 호계동 1039-2,경기도 안양시 동안구 동안로 지하130,126.9509572,37.3710995
8,코레일,4호선,금정,경기도 군포시 금정동 613,경기도 군포시 군포로 750,126.9460853,37.3663562
9,코레일,4호선,산본,경기도 군포시 산본동 1231,경기도 군포시 번영로 504,126.9331523,37.3580613
10,코레일,4호선,수리산,경기도 군포시 산본동 1231-1,경기도 군포시 번영로 385,126.9254711,37.3500444
11,코레일,4호선,대야미,경기도 군포시 대야미동 229-1,경기도 군포시 대야1로 28,126.9168896,37.3281982
12,코레일,4호선,반월,경기도 안산시 상록구 건건동 산62-1,경기도 안산시 상록구 건건로 119-10,126.9037315,37.31198759999999
13,코레일,4호선,상록수,경기도 안산시 상록구 본오동 1177,경기도 안산시 상록구 상록수로 61,126.8664896,37.30279
14,코레일,4호선,한대앞,경기도 안산시 상록구 이동 211-5,경기도 안산시 상록구 충장로 337,126.8533727,37.3103426
15,코레일,4호선,중앙,경기도 안산시 단원구 고잔동 167-378,경기도 안산시 단원구 중앙대로 918,126.838489,37.3159723
16,코레일,4호선,고잔,경기도 안산시 단원구 고잔동 453-67,경기도 안산시 단원구 중앙대로 784,126.8221758,37.3170527
17,코레일,4호선,초지,경기도 안산시 단원구 초지동 25-1,경기도 안산시 단원구 중앙대로 620,126.8059149,37.3206435
18,코레일,4호선,안산,경기도 안산시 단원구 원곡동 325-12,경기도 안산시 단원구 중앙대로 462,126.7869768,37.328054
19,코레일,4호선,신길온천,경기도 안산시 단원구 신길동 216-2,경기도 안산시 단원구 황고개로 2 ,126.7669326,37.3376034
20,코레일,4호선,정왕,경기도 시흥시 정왕동 2325-12,경기도 시흥시 마유로418번길 15,126.7429979,37.3517296
21,코레일,4호선,오이도,경기도 시흥시 정왕동 878,경기도 시흥시 역전로 430,126.7384011,37.3620238
22,서울교통공사,4호선,당고개,서울특별시 노원구 상계동 111,서울특별시 노원구 상계로 305 ,127.0793058,37.6705563
23,서울교통공사,4호선,상계,서울특별시 노원구 상계동 156-203,서울특별시 노원구 상계로 182 ,127.0735256,37.6610953
24,서울교통공사,4호선,노원,서울특별시 노원구 상계동 602-5,서울특별시 노원구 상계로 69-1 ,127.0619911,37.6558674
25,서울교통공사,4호선,창동,서울특별시 도봉구 창동 135-1,서울특별시 도봉구 마들로 11길 77 ,127.0481139,37.6531856
26,서울교통공사,4호선,쌍문,서울특별시 도봉구 창동 703-4,서울특별시 도봉구 도봉로 지하 486-1 ,127.0407797,37.6703415
27,서울교통공사,4호선,수유(강북구청),서울특별시 강북구 수유동 140,서울특별시 강북구 도봉로 지하 338 ,127.0166696,37.6424902
28,서울교통공사,4호선,미아,서울특별시 강북구 미아동 194-1,서울특별시 강북구 도봉로 지하 198 ,127.0241549,37.6360775
29,서울교통공사,4호선,미아사거리,서울특별시 강북구 미아동 66-1,서울특별시 강북구 도봉로 지하 50 ,127.030107,37.6425005
