,철도운영기관명,선명,역명,지번주소,도로명주소,경도,위도
0,코레일,3호선,대화,경기도 고양시 일산서구 대화동 2221,경기도 고양시 일산서구 중앙로 지하 1569,126.7604339,37.6708409
1,코레일,3호선,주엽,경기도 고양시 일산서구 주엽동 166-7,경기도 고양시 일산서구 중앙로 지하 1432,126.7768137,37.6525438
2,코레일,3호선,정발산,경기도 고양시 일산동구 마두동 1123,경기도 고양시 일산동구 중앙로 지하 1270,126.7701558,37.659654
3,코레일,3호선,마두,경기도 고양시 일산동구 마두동 765-1,경기도 고양시 일산동구 중앙로 지하 1180,126.7767203,37.6695928
4,코레일,3호선,백석,경기도 고양시 일산동구 백석동 1538,경기도 고양시 일산동구 중앙로 지하 1042,126.7521191,37.6673483
5,코레일,3호선,대곡,경기도 고양시 덕양구 대장동 420-1,경기도 고양시 덕양구 대주로107번길 71-81,126.8108228,37.6316405
6,코레일,3호선,화정,경기도 고양시 덕양구 화정동 1098,경기도 고양시 덕양구 화정로 지하60,126.8313649,37.63431550000001
7,코레일,3호선,원당,경기도 고양시 덕양구 성사동 410-7,경기도 고양시 덕양구 고양대로 1429,126.8431112,37.6534048
8,코레일,3호선,원흥,경기도 고양시 덕양구 원흥동 569-15,경기도 고양시 덕양구 권율대로 681,126.8322044,37.6372458
9,코레일,3호선,삼송,경기도 고양시 덕양구 삼송동 18-5,경기도 고양시 덕양구 삼송로 지하 194,126.8840674,37.6503799
10,서울교통공사,3호선,지축,경기도 고양시 덕양구 지축동 818-64,경기도 고양시 덕양구 삼송로 300 ,126.9121326,37.649588
11,서울교통공사,3호선,구파발,서울특별시 은평구 진관동 67-26,서울특별시 은평구 진관2로 지하 15-25 ,126.9205461,37.635425
12,서울교통공사,3호선,연신내,서울특별시 은평구 갈현동 397,서울특별시 은평구 통일로 지하 849 3호선 ,126.9158948,37.6245589
13,서울교통공사,3호선,불광,서울특별시 은평구 대조동 14-1,서울특별시 은평구 통일로 지하 723-1 3호선 ,126.920832,37.6188881
