,철도운영기관명,선명,역명,지번주소,도로명주소,경도,위도
0,코레일,1호선,소요산,경기도 동두천시 상봉암동 126-3,경기도 동두천시 평화로 2925,127.0611248,37.9478947
1,코레일,1호선,동두천,경기도 동두천시 동두천동 245-210,경기도 동두천시 평화로 2687 ,127.0547098,37.9277486
2,코레일,1호선,보산,경기도 동두천시 보산동 422,경기도 동두천시 평화로 2539,127.0572214,37.9142873
3,코레일,1호선,동두천중앙,경기도 동두천시 생연동 726-3,경기도 동두천시 동두천로 228,127.0562191,37.9017645
4,코레일,1호선,지행,경기도 동두천시 지행동 424-1,경기도 동두천시 평화로 2285,127.0556432,37.8918364
5,코레일,1호선,덕정,경기도 양주시 덕정동 350-14,경기도 양주시 화합로 1356,127.0618703,37.8441397
6,코레일,1호선,덕계,경기도 양주시 덕계동 209-5,경기도 양주시 고덕로 139번길 317,127.0561024,37.8183267
7,코레일,1호선,양주,경기도 양주시 남방동 94-1,경기도 양주시 평화로 919,127.0449544,37.7756526
8,코레일,1호선,녹양,경기도 의정부시 녹양동 96-1,경기도 의정부시 평화로 757,127.0422337,37.7593538
9,코레일,1호선,가능,경기도 의정부시 가능동 197-1,경기도 의정부시 평화로 633,127.0441896,37.7483818
10,코레일,1호선,의정부,경기도 의정부시 의정부동 168-54,경기도 의정부시 평화로 525,127.046992,37.7353974
11,코레일,1호선,회룡,경기도 의정부시 호원동 50-5,경기도 의정부시 평화로 363,127.0470808,37.7228948
12,코레일,1호선,망월사,경기도 의정부시 호원동 50-5,경기도 의정부시 평화로 221,127.0470808,37.7228948
13,코레일,1호선,도봉산,서울특별시 도봉구 도봉동 18-1,서울특별시 도봉구 도봉로 964-33,127.0461302,37.6891763
14,코레일,1호선,도봉,서울특별시 도봉구 도봉동 639,서울특별시 도봉구 도봉로 170길 2,127.045755,37.6803234
15,코레일,1호선,방학,서울특별시 도봉구 방학동 728,서울특별시 도봉구 도봉로 150다길 3,127.0444088,37.6663079
16,코레일,1호선,창동,서울특별시 도봉구 창동 135-1,서울특별시 도봉구 마들로11길 77,127.0481139,37.6531856
17,코레일,1호선,녹천,서울특별시 도봉구 창동 57-11,서울특별시 도붕구 덕릉로 376,127.0454182,37.6431857
18,코레일,1호선,월계,서울특별시 노원구 월계동 263-1,서울특별시 노원구 월계로53길 40,127.0587751,37.6319572
19,코레일,1호선,광운대,서울특별시 노원구 월계동 85,서울특별시 노원구 석계로 98-2,127.0616631,37.6232015
20,코레일,1호선,석계,서울특별시 노원구 월계동 36-4,서울특별시 노원구 화랑로 341,127.0656321,37.6152696
21,코레일,1호선,신이문,서울특별시 동대문구 이문동 7,서울특별시 동대문구 한천로 472,127.0686596,37.6054759
22,코레일,1호선,외대앞,서울특별시 동대문구 이문동 360-5,서울특별시 동대문구 휘경로 27,127.0630252,37.5953604
23,코레일,1호선,회기,서울특별시 동대문구 휘경동 317-101,서울특별시 동대문구 회기로 196,127.0580246,37.5896999
24,코레일,1호선,남영,서울특별시 용산구 갈월동 96-1,서울특별시 용산구 한강대로77길 25,126.9712663,37.5415379
25,코레일,1호선,용산,서울특별시 용산구 한강로3가 40-999,서울특별시 용산구 한강대로23길 55,126.9640447,37.5288539
26,코레일,1호선,노량진,서울특별시 동작구 노량진동 67-2,서울특별시 동작구 노량진로 151,126.9430428,37.5141079
27,코레일,1호선,대방,서울특별시 영등포구 신길동 1368-3,서울특별시 영등포구 여의대방로 300,126.9262955,37.5132802
28,코레일,1호선,신길,서울특별시 영등포구 신길동 41-1,서울특별시 영등포구 영등포로 327,126.9171901,37.5170175
29,코레일,1호선,영등포,서울특별시 영등포구 영등포동 618-496,서울특별시 영등포구 경인로 846,126.9066823,37.5154709
30,코레일,1호선,신도림,서울특별시 구로구 신도림동 460-26,서울특별시 구로구 새말로 지하117-21,126.8910103,37.5088093
31,코레일,1호선,구로,서울특별시 구로구 구로동 585-3,서울특별시 구로구 구로중앙로 174,126.8814842,37.5023699
32,코레일,1호선,구일,서울특별시 구로구 구로동 636-45,서울특별시 구로구 구일로 133,126.8719566,37.4971984
33,코레일,1호선,개봉,서울특별시 구로구 개보동 415,서울특별시 구로구 경인로40길 47,126.8587506,37.4945586
34,코레일,1호선,오류동,서울특별시 구로구 오류동 66,서울특별시 구로구 경인로 20길 13,126.8470424,37.4954036
35,코레일,1호선,온수,서울특셜시 구로구 온수동 51-7,서울특별시 구로구 부일로 872,126.8239696,37.4922901
36,코레일,1호선,역곡,경기도 부천시 원미곡 역곡동 382,경기도 부천시 원미구 역곡로 1,126.8118593,37.4852463
37,코레일,1호선,소사,경기도 부천시 소사구 소사본동 395,경기도 부천시 소사구 소사로 272,126.7950673,37.4827074
38,코레일,1호선,부천,경기도 부천시 소사구 심곡본동 316-2,경기도 부천시 소사구 부천로 1,126.7826385,37.4839955
39,코레일,1호선,중동,경기도 부천시 소사구 송내동 632,경기도 부천시 소사구 중동로 73,126.7644133,37.486513
40,코레일,1호선,송내,경기도 부천시 소사구 송내동 632-4,경기도 부천시 소사구 송내대로 43,126.7527789,37.4876305
41,코레일,1호선,부개,인천광역시 부평구 부개동 468,인천광역시 부평구 수변로 22,126.7405288,37.4882836
42,코레일,1호선,부평,인천광역시 부평구 부평동 738-21,인천광역시 부평구 광장로 16,126.7233082,37.4897746
43,코레일,1호선,백운,인천광역시 부평구 십정동 541-1,인천광역시 부평구 마장로 55번길 14,126.7072457,37.4831477
44,코레일,1호선,동암,인천광역시 부평구 십정동 541-1,인천광역시 부평구 동암광장로 10,126.7029383,37.4728549
45,코레일,1호선,간석,인천광역시 남동구 간석동 757,인천광역시 남동구 석정로 522-14,126.6936758,37.464749
46,코레일,1호선,주안,인천광역시 남구 주안동 125,인천광역시 남구 주안로 95-19,126.6805569,37.4649204
47,코레일,1호선,도화,인천광역시 남구 도화동 668,인천광역시 남구 숙골로 24번길 9 ,126.6683804,37.4660669
48,코레일,1호선,제물포,인천광역시 남구 숭의동 450-39,인천광역시 남구 경인로 129,126.6567762,37.4667366
49,코레일,1호선,도원,인천광역시 동구 창영동 179-1,인천광역시 동구 참외전로 245,126.6424144,37.4687358
50,코레일,1호선,동인천,인천광역시 중구 인현동 1-613,인천광역시 중구 참외전로 121,126.6323906,37.4753805
51,코레일,1호선,인천,인천광역시 중구 북성동1가 3-1,인천광역시 중구 제물량로 269,126.6177128,37.4779641
52,코레일,1호선,가산디지털단지,서울특별시 금천구 가산동 468-4,서울특별시 금천구 벚꽃로 309,126.8821832,37.4822545
53,코레일,1호선,독산,서울특별시 금천구 가산동 717,서울특별시 금천구 벚꽃로 115,126.8897931,37.4656408
54,코레일,1호선,금천구청,서울특별시 금천구 시흥동 113-55,서울특별시 금천구 시흥대로 63길 91,126.8943636,37.4557965
55,코레일,1호선,석수,경기도 안양시 만악구 석수동 737,경기도 안양시 만안구 경수대로 1431,126.902632,37.4343331
56,코레일,1호선,관악,경기도 안양시 만악구 석수동 101-16,경기도 안양시 만안구 경수대로 1273번길 46,126.9091005,37.4187147
57,코레일,1호선,안양,경기도 안양시 만안구 안양동 88-1,경기도 안양시 만안구 만안로 232,126.9229027,37.4016455
58,코레일,1호선,명학,경기도 안양시 만안구 안양동 1163-1,경기도 안양시 만안구 만안로 20,126.9321512,37.391105
59,코레일,1호선,금정,경기도 군포시 금정동 613,경기도 군포시 군포로 750,126.9460853,37.3663562
60,코레일,1호선,군포,경기도 군포시 당동 134-1,경기도 군포시 군포역1길 27,126.9480665,37.3527741
61,코레일,1호선,당정,경기도 군포시 당정동 938,경기도 구노시 당정역로 91,126.9488653,37.3439769
62,코레일,1호선,의왕,경기도 의왕시 삼동 191,경기도 의왕시 철도박물관로 66,126.9482273,37.321504
63,코레일,1호선,성균관대,경기도 수원시 장안구 율전동 495-2,경기도 수원시 장안구 서부로 2149,126.9717043,37.3002089
64,코레일,1호선,화서,경기도 수원시 팔달구 화서동 464,경기도 수원시 팔달구 덕영대로 692,126.9890748,37.2848573
65,코레일,1호선,수원,경기도 수원시 팔달구 매산로1가 18,경기도 수원시 팔달구 덕영대로 924,127.0003136,37.2656777
66,코레일,1호선,세류,경기도 수원시 권선구 장지동 25-4,경기도 수원시 권선구 정조로 393-1,127.0140328,37.2447002
67,코레일,1호선,병점,경기도 화성시 진암동 824-1,경기도 화성시 떡전골로 97,127.033315,37.2068791
68,코레일,1호선,서동탄,경기도 오산시 외삼미동 242,경기도 오산시 외삼미로 15번길 75-60,127.0549882,37.1970825
69,코레일,1호선,세마,경기도 오산시 세교동 244-5,경기도 오산시 세마역로 88,127.0431205,37.1869832
70,코레일,1호선,오산대,경기도 오산시 수청동 435-1,경기도 오산시 청학로 236,127.0630476,37.169198
71,코레일,1호선,오산,경기도 오산시 오산동 603-116,경기도 오산시 역광장로 59,127.0668089,37.1454386
72,코레일,1호선,진위,경기도 평택시 진위면 하북리 139-3,경기도 평택시 진위면 경기대로 1855 ,127.0623463,37.1098997
73,코레일,1호선,송탄,경기도 평택시 신장동 257-5,경기도 평택시 송탄공원로 43,127.0543219,37.0750531
74,코레일,1호선,서정리,경기도 평택시 서정동 427-53,경기도 평택시 탄현로 51,127.0529637,37.0569325
75,코레일,1호선,지제,경기도 평택시 지제동 559-4,경기도 평택시 경기대로 777,127.0707858,37.0187307
76,코레일,1호선,평택,경기도 평택시 평택동 185-579,경기도 평택시 평택로 51,127.0836477,36.9918456
77,코레일,1호선,성환,충청남도 천안시 서북구 성환읍 성환리 449-128,충청남도 천안시 서북구 성환읍 성환1로 237-5 ,127.1270056,36.9180015
78,코레일,1호선,직산,충청남도 천안시 서북구 직산읍 모시리 58-11,충청남도 천안시 서북구 직산읍 천안대로 1471-33 ,127.1439669,36.8705903
79,코레일,1호선,두정,충청남도 천안시 서북구 두정동 84-1,충청남도 천안시 서북구 두정로 289,127.1490236,36.832907
80,코레일,1호선,천안,충청남도 천안시 동남구 대흥동 57-1,충청남도 천안시 동남구 대흥로 239,127.1466733,36.810144
81,코레일,1호선,봉명,충청남도 천안시 동남구 봉명동 20-2,충청남도 천안시 동남구 차돌로 51,127.1358131,36.8012946
82,코레일,1호선,쌍용(나사렛대),충청남도 천안시 서북구 쌍용동 426-3,충청남도 천안시 서북구 쌍용19로 20,127.1214867,36.7936019
83,코레일,1호선,아산,충청남도 아산시 배방읍 장재리 268,충청남도 아산시 배방읍 희망로 90 ,127.1033291,36.7918866
